,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,7066,consent.html,external-html,0,7166,0.0-0.0,2jhd2rzje7tblhorpo4n,female,battle,,,,,,
1,3224,,image-button-response,1,10394,0.0-1.0,2jhd2rzje7tblhorpo4n,female,battle,check-1.png,1.0,check1,,,
2,2106,,image-button-response,2,12502,0.0-2.0,2jhd2rzje7tblhorpo4n,female,battle,check-2.png,2.0,check2,,,
3,20348,,instructions,3,32851,0.0-3.0,2jhd2rzje7tblhorpo4n,female,battle,,,,"[{""page_index"":0,""viewing_time"":4571},{""page_index"":1,""viewing_time"":10161},{""page_index"":2,""viewing_time"":4515},{""page_index"":3,""viewing_time"":1099}]",,
4,23633,,html-slider-response,4,56487,0.0-4.0,2jhd2rzje7tblhorpo4n,female,battle,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_battle.png"" class=""main-trial""/>",,trial,,7.0,
5,31632,,survey-text,5,88121,0.0-5.0,2jhd2rzje7tblhorpo4n,female,battle,,,description,,,"{""Q0"":""She has lymphoma and is in the hospital. She needs funds to cover her treatment.""}"
6,5233,,survey-likert,6,93356,0.0-6.0-0.0,2jhd2rzje7tblhorpo4n,female,battle,,,urgent,,,"{""Q0"":5}"
7,2446,,survey-likert,7,95805,0.0-6.0-1.0,2jhd2rzje7tblhorpo4n,female,battle,,,sympathy,,,"{""Q0"":5}"
8,4737,,survey-text,8,100544,0.0-7.0,2jhd2rzje7tblhorpo4n,female,battle,,,past-donations,,,"{""Q0"":""1""}"
9,2947,,survey-multi-choice,9,103496,0.0-8.0-0.0,2jhd2rzje7tblhorpo4n,female,battle,,,self-cancer,,,"{""Q0"":""No""}"
10,2025,,survey-multi-choice,10,105525,0.0-8.0-1.0,2jhd2rzje7tblhorpo4n,female,battle,,,ff-cancer,,,"{""Q0"":""Yes""}"
11,11900,,survey-multi-choice,11,117436,0.0-9.0,2jhd2rzje7tblhorpo4n,female,battle,,,demographics,,,"{""Q0"":""Female"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""Less than $10,000"",""Q3"":""Yes""}"
12,3101,,survey-text,12,120539,0.0-10.0,2jhd2rzje7tblhorpo4n,female,battle,,,age,,,"{""Q0"":""20""}"
13,1698,,survey-text,13,122238,0.0-11.0,2jhd2rzje7tblhorpo4n,female,battle,,,purpose,,,"{""Q0"":""""}"
14,952,,survey-text,14,123193,0.0-12.0,2jhd2rzje7tblhorpo4n,female,battle,,,feedback,,,"{""Q0"":""""}"
15,8292,debrief.html,external-html,15,131755,0.0-13.0,2jhd2rzje7tblhorpo4n,female,battle,,,,,,
