,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,7808,consent.html,external-html,0,8062,0.0-0.0,caeknf70m3lfmmj9m11u,male,journey,,,,,,
1,2712,,image-button-response,1,10789,0.0-1.0,caeknf70m3lfmmj9m11u,male,journey,check-1.png,1.0,check1,,,
2,7996,,image-button-response,2,18799,0.0-2.0,caeknf70m3lfmmj9m11u,male,journey,check-2.png,2.0,check2,,,
3,19966,,instructions,3,38769,0.0-3.0,caeknf70m3lfmmj9m11u,male,journey,,,,"[{""page_index"":0,""viewing_time"":4804},{""page_index"":1,""viewing_time"":12094},{""page_index"":2,""viewing_time"":2101},{""page_index"":3,""viewing_time"":964}]",,
4,12570,,html-slider-response,4,51352,0.0-4.0,caeknf70m3lfmmj9m11u,male,journey,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_journey.png"" class=""main-trial""/>",,trial,,5.0,
5,22649,,survey-text,5,74009,0.0-5.0,caeknf70m3lfmmj9m11u,male,journey,,,description,,,"{""Q0"":""I would tell them directly and not beat around the bush.""}"
6,13371,,survey-likert,6,87387,0.0-6.0-0.0,caeknf70m3lfmmj9m11u,male,journey,,,sympathy,,,"{""Q0"":5}"
7,6156,,survey-likert,7,93550,0.0-6.0-1.0,caeknf70m3lfmmj9m11u,male,journey,,,urgent,,,"{""Q0"":5}"
8,4173,,survey-text,8,97728,0.0-7.0,caeknf70m3lfmmj9m11u,male,journey,,,past-donations,,,"{""Q0"":""2""}"
9,2406,,survey-multi-choice,9,100145,0.0-8.0-0.0,caeknf70m3lfmmj9m11u,male,journey,,,self-cancer,,,"{""Q0"":""No""}"
10,2600,,survey-multi-choice,10,102754,0.0-8.0-1.0,caeknf70m3lfmmj9m11u,male,journey,,,ff-cancer,,,"{""Q0"":""Yes""}"
11,8974,,survey-multi-choice,11,111758,0.0-9.0,caeknf70m3lfmmj9m11u,male,journey,,,demographics,,,"{""Q0"":""Male"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
12,4407,,survey-text,12,116170,0.0-10.0,caeknf70m3lfmmj9m11u,male,journey,,,age,,,"{""Q0"":""26""}"
13,2508,,survey-text,13,118686,0.0-11.0,caeknf70m3lfmmj9m11u,male,journey,,,purpose,,,"{""Q0"":""""}"
14,1743,,survey-text,14,120436,0.0-12.0,caeknf70m3lfmmj9m11u,male,journey,,,feedback,,,"{""Q0"":""""}"
15,8080,debrief.html,external-html,15,129175,0.0-13.0,caeknf70m3lfmmj9m11u,male,journey,,,,,,
