,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,11735,consent.html,external-html,0,12094,0.0-0.0,gzdz3aanb7myelwqhfwl,female,literal,,,,,,
1,3169,,image-button-response,1,15267,0.0-1.0,gzdz3aanb7myelwqhfwl,female,literal,check-1.png,1.0,check1,,,
2,4157,,image-button-response,2,19427,0.0-2.0,gzdz3aanb7myelwqhfwl,female,literal,check-2.png,2.0,check2,,,
3,106919,,instructions,3,126347,0.0-3.0,gzdz3aanb7myelwqhfwl,female,literal,,,,"[{""page_index"":0,""viewing_time"":5486},{""page_index"":1,""viewing_time"":1344},{""page_index"":2,""viewing_time"":76560},{""page_index"":3,""viewing_time"":23528}]",,
4,72902,,html-slider-response,4,199250,0.0-4.0,gzdz3aanb7myelwqhfwl,female,literal,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_literal.png"" class=""main-trial""/>",,trial,,20.0,
5,211848,,survey-text,5,411099,0.0-5.0,gzdz3aanb7myelwqhfwl,female,literal,,,description,,,"{""Q0"":""A girl named jennifer was diagnosed with lymphoma and she needs money to help her fight it""}"
6,12117,,survey-likert,6,423219,0.0-6.0-0.0,gzdz3aanb7myelwqhfwl,female,literal,,,urgent,,,"{""Q0"":6}"
7,4154,,survey-likert,7,427376,0.0-6.0-1.0,gzdz3aanb7myelwqhfwl,female,literal,,,sympathy,,,"{""Q0"":6}"
8,6741,,survey-text,8,434119,0.0-7.0,gzdz3aanb7myelwqhfwl,female,literal,,,past-donations,,,"{""Q0"":""2""}"
9,2458,,survey-multi-choice,9,436581,0.0-8.0-0.0,gzdz3aanb7myelwqhfwl,female,literal,,,self-cancer,,,"{""Q0"":""No""}"
10,2538,,survey-multi-choice,10,439121,0.0-8.0-1.0,gzdz3aanb7myelwqhfwl,female,literal,,,ff-cancer,,,"{""Q0"":""No""}"
11,8245,,survey-multi-choice,11,447375,0.0-9.0,gzdz3aanb7myelwqhfwl,female,literal,,,demographics,,,"{""Q0"":""Male"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$100,000 through $149,999"",""Q3"":""Yes""}"
12,5252,,survey-text,12,452628,0.0-10.0,gzdz3aanb7myelwqhfwl,female,literal,,,age,,,"{""Q0"":""40""}"
13,3520,,survey-text,13,456149,0.0-11.0,gzdz3aanb7myelwqhfwl,female,literal,,,purpose,,,"{""Q0"":""""}"
14,1764,,survey-text,14,457914,0.0-12.0,gzdz3aanb7myelwqhfwl,female,literal,,,feedback,,,"{""Q0"":""""}"
15,5534,debrief.html,external-html,15,464628,0.0-13.0,gzdz3aanb7myelwqhfwl,female,literal,,,,,,
