,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,73865,consent.html,external-html,0,73890,0.0-0.0,jta6k6ey948hpf6dgvb7,male,literal,,,,,,
1,2811,,image-button-response,1,76702,0.0-1.0,jta6k6ey948hpf6dgvb7,male,literal,check-1.png,1.0,check1,,,
2,5878,,image-button-response,2,82582,0.0-2.0,jta6k6ey948hpf6dgvb7,male,literal,check-2.png,2.0,check2,,,
3,61026,,instructions,3,143608,0.0-3.0,jta6k6ey948hpf6dgvb7,male,literal,,,,"[{""page_index"":0,""viewing_time"":8848},{""page_index"":1,""viewing_time"":39178},{""page_index"":2,""viewing_time"":10920},{""page_index"":3,""viewing_time"":2079}]",,
4,65230,,html-slider-response,4,208840,0.0-4.0,jta6k6ey948hpf6dgvb7,male,literal,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_literal.png"" class=""main-trial""/>",,trial,,25.0,
5,43517,,survey-text,5,252359,0.0-5.0,jta6k6ey948hpf6dgvb7,male,literal,,,description,,,"{""Q0"":""Jason had thyroid surgery.  After he was diagnosed with lymphoma and has to go through the standard treatment and activities for that.""}"
6,11544,,survey-likert,6,263904,0.0-6.0-0.0,jta6k6ey948hpf6dgvb7,male,literal,,,sympathy,,,"{""Q0"":3}"
7,4639,,survey-likert,7,268545,0.0-6.0-1.0,jta6k6ey948hpf6dgvb7,male,literal,,,urgent,,,"{""Q0"":2}"
8,5858,,survey-text,8,274404,0.0-7.0,jta6k6ey948hpf6dgvb7,male,literal,,,past-donations,,,"{""Q0"":""0""}"
9,5472,,survey-multi-choice,9,279879,0.0-8.0-0.0,jta6k6ey948hpf6dgvb7,male,literal,,,ff-cancer,,,"{""Q0"":""Yes""}"
10,3696,,survey-multi-choice,10,283576,0.0-8.0-1.0,jta6k6ey948hpf6dgvb7,male,literal,,,self-cancer,,,"{""Q0"":""No""}"
11,11755,,survey-multi-choice,11,295340,0.0-9.0,jta6k6ey948hpf6dgvb7,male,literal,,,demographics,,,"{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""More than $150,000"",""Q3"":""Yes""}"
12,4038,,survey-text,12,299380,0.0-10.0,jta6k6ey948hpf6dgvb7,male,literal,,,age,,,"{""Q0"":""46""}"
13,13204,,survey-text,13,312585,0.0-11.0,jta6k6ey948hpf6dgvb7,male,literal,,,purpose,,,"{""Q0"":""empathy/sympathy""}"
14,2596,,survey-text,14,315181,0.0-12.0,jta6k6ey948hpf6dgvb7,male,literal,,,feedback,,,"{""Q0"":""""}"
15,17237,debrief.html,external-html,15,332837,0.0-13.0,jta6k6ey948hpf6dgvb7,male,literal,,,,,,
