,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,10456,consent.html,external-html,0,10615,0.0-0.0,k8d71hd7rzur4ly7h5jv,male,battle,,,,,,
1,1912,,image-button-response,1,12530,0.0-1.0,k8d71hd7rzur4ly7h5jv,male,battle,check-1.png,1.0,check1,,,
2,2462,,image-button-response,2,14994,0.0-2.0,k8d71hd7rzur4ly7h5jv,male,battle,check-2.png,2.0,check2,,,
3,21344,,instructions,3,36338,0.0-3.0,k8d71hd7rzur4ly7h5jv,male,battle,,,,"[{""page_index"":0,""viewing_time"":3791},{""page_index"":1,""viewing_time"":12896},{""page_index"":2,""viewing_time"":3200},{""page_index"":3,""viewing_time"":1456}]",,
4,37237,,html-slider-response,4,73576,0.0-4.0,k8d71hd7rzur4ly7h5jv,male,battle,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_battle.png"" class=""main-trial""/>",,trial,,5.0,
5,56894,,survey-text,5,130472,0.0-5.0,k8d71hd7rzur4ly7h5jv,male,battle,,,description,,,"{""Q0"":""Jason is one of many people struggling through cancer treatments. His situation is not especially noteworthy.""}"
6,5541,,survey-likert,6,136016,0.0-6.0-0.0,k8d71hd7rzur4ly7h5jv,male,battle,,,sympathy,,,"{""Q0"":0}"
7,2750,,survey-likert,7,138767,0.0-6.0-1.0,k8d71hd7rzur4ly7h5jv,male,battle,,,urgent,,,"{""Q0"":0}"
8,4431,,survey-text,8,143199,0.0-7.0,k8d71hd7rzur4ly7h5jv,male,battle,,,past-donations,,,"{""Q0"":""1""}"
9,3222,,survey-multi-choice,9,146423,0.0-8.0-0.0,k8d71hd7rzur4ly7h5jv,male,battle,,,ff-cancer,,,"{""Q0"":""Yes""}"
10,2038,,survey-multi-choice,10,148464,0.0-8.0-1.0,k8d71hd7rzur4ly7h5jv,male,battle,,,self-cancer,,,"{""Q0"":""No""}"
11,7360,,survey-multi-choice,11,155832,0.0-9.0,k8d71hd7rzur4ly7h5jv,male,battle,,,demographics,,,"{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
12,3734,,survey-text,12,159567,0.0-10.0,k8d71hd7rzur4ly7h5jv,male,battle,,,age,,,"{""Q0"":""55""}"
13,6734,,survey-text,13,166303,0.0-11.0,k8d71hd7rzur4ly7h5jv,male,battle,,,purpose,,,"{""Q0"":""""}"
14,1790,,survey-text,14,168095,0.0-12.0,k8d71hd7rzur4ly7h5jv,male,battle,,,feedback,,,"{""Q0"":""""}"
15,20668,debrief.html,external-html,15,189112,0.0-13.0,k8d71hd7rzur4ly7h5jv,male,battle,,,,,,
