,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,5835,consent.html,external-html,0,5982,0.0-0.0,njm19z283bzdfuoovwxu,male,literal,,,,,,
1,3641,,image-button-response,1,9626,0.0-1.0,njm19z283bzdfuoovwxu,male,literal,check-1.png,2.0,check1,,,
2,5006,,image-button-response,2,14634,0.0-2.0,njm19z283bzdfuoovwxu,male,literal,check-2.png,2.0,check2,,,
3,23255,,instructions,3,37889,0.0-3.0,njm19z283bzdfuoovwxu,male,literal,,,,"[{""page_index"":0,""viewing_time"":6815},{""page_index"":1,""viewing_time"":12035},{""page_index"":2,""viewing_time"":2509},{""page_index"":3,""viewing_time"":1895}]",,
4,6374,,html-slider-response,4,44268,0.0-4.0,njm19z283bzdfuoovwxu,male,literal,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_literal.png"" class=""main-trial""/>",,trial,,25.0,
5,15701,,survey-text,5,59970,0.0-5.0,njm19z283bzdfuoovwxu,male,literal,,,description,,,"{""Q0"":""good""}"
6,8279,,survey-likert,6,68251,0.0-6.0-0.0,njm19z283bzdfuoovwxu,male,literal,,,sympathy,,,"{""Q0"":5}"
7,6517,,survey-likert,7,74770,0.0-6.0-1.0,njm19z283bzdfuoovwxu,male,literal,,,urgent,,,"{""Q0"":5}"
8,9758,,survey-text,8,84529,0.0-7.0,njm19z283bzdfuoovwxu,male,literal,,,past-donations,,,"{""Q0"":""5""}"
9,3287,,survey-multi-choice,9,87818,0.0-8.0-0.0,njm19z283bzdfuoovwxu,male,literal,,,self-cancer,,,"{""Q0"":""Yes""}"
10,3325,,survey-multi-choice,10,91145,0.0-8.0-1.0,njm19z283bzdfuoovwxu,male,literal,,,ff-cancer,,,"{""Q0"":""Yes""}"
11,28915,,survey-multi-choice,11,120067,0.0-9.0,njm19z283bzdfuoovwxu,male,literal,,,demographics,,,"{""Q0"":""Female"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""Less than $10,000"",""Q3"":""Yes""}"
12,7862,,survey-text,12,127930,0.0-10.0,njm19z283bzdfuoovwxu,male,literal,,,age,,,"{""Q0"":""24""}"
13,5279,,survey-text,13,133210,0.0-11.0,njm19z283bzdfuoovwxu,male,literal,,,purpose,,,"{""Q0"":""""}"
14,1551,,survey-text,14,134762,0.0-12.0,njm19z283bzdfuoovwxu,male,literal,,,feedback,,,"{""Q0"":""""}"
15,6708,debrief.html,external-html,15,141843,0.0-13.0,njm19z283bzdfuoovwxu,male,literal,,,,,,
