,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,9146,consent.html,external-html,0,9270,0.0-0.0,t600dpttk81c34vesz05,female,literal,,,,,,
1,3605,,image-button-response,1,12889,0.0-1.0,t600dpttk81c34vesz05,female,literal,check-1.png,1.0,check1,,,
2,5619,,image-button-response,2,18516,0.0-2.0,t600dpttk81c34vesz05,female,literal,check-2.png,2.0,check2,,,
3,51538,,instructions,3,70060,0.0-3.0,t600dpttk81c34vesz05,female,literal,,,,"[{""page_index"":0,""viewing_time"":11590},{""page_index"":1,""viewing_time"":25130},{""page_index"":2,""viewing_time"":12579},{""page_index"":3,""viewing_time"":2238}]",,
4,112093,,html-slider-response,4,182164,0.0-4.0,t600dpttk81c34vesz05,female,literal,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_literal.png"" class=""main-trial""/>",,trial,,4.0,
5,100390,,survey-text,5,282562,0.0-5.0,t600dpttk81c34vesz05,female,literal,,,description,,,"{""Q0"":""Jennifer is in a tough situation fighting cancer. She now has to endure chemotherapy treatments to try & beat it.""}"
6,15193,,survey-likert,6,297769,0.0-6.0-0.0,t600dpttk81c34vesz05,female,literal,,,sympathy,,,"{""Q0"":6}"
7,6409,,survey-likert,7,304188,0.0-6.0-1.0,t600dpttk81c34vesz05,female,literal,,,urgent,,,"{""Q0"":5}"
8,10803,,survey-text,8,315002,0.0-7.0,t600dpttk81c34vesz05,female,literal,,,past-donations,,,"{""Q0"":""2""}"
9,6498,,survey-multi-choice,9,321514,0.0-8.0-0.0,t600dpttk81c34vesz05,female,literal,,,ff-cancer,,,"{""Q0"":""Yes""}"
10,3777,,survey-multi-choice,10,325304,0.0-8.0-1.0,t600dpttk81c34vesz05,female,literal,,,self-cancer,,,"{""Q0"":""No""}"
11,15012,,survey-multi-choice,11,340367,0.0-9.0,t600dpttk81c34vesz05,female,literal,,,demographics,,,"{""Q0"":""Male"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
12,6846,,survey-text,12,347222,0.0-10.0,t600dpttk81c34vesz05,female,literal,,,age,,,"{""Q0"":""38""}"
13,56236,,survey-text,13,403464,0.0-11.0,t600dpttk81c34vesz05,female,literal,,,purpose,,,"{""Q0"":""How sympathetic someone may be to donate to a cause.""}"
14,5864,,survey-text,14,409333,0.0-12.0,t600dpttk81c34vesz05,female,literal,,,feedback,,,"{""Q0"":""No""}"
15,12891,debrief.html,external-html,15,422776,0.0-13.0,t600dpttk81c34vesz05,female,literal,,,,,,
