,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,2424,consent.html,external-html,0,2486,0.0-0.0,t6a14q70gf0sh577lsdq,female,battle,,,,,,
1,31245,,image-button-response,1,33733,0.0-1.0,t6a14q70gf0sh577lsdq,female,battle,check-1.png,1.0,check1,,,
2,4374,,image-button-response,2,38108,0.0-2.0,t6a14q70gf0sh577lsdq,female,battle,check-2.png,2.0,check2,,,
3,45097,,instructions,3,83206,0.0-3.0,t6a14q70gf0sh577lsdq,female,battle,,,,"[{""page_index"":0,""viewing_time"":5691},{""page_index"":1,""viewing_time"":21461},{""page_index"":2,""viewing_time"":16566},{""page_index"":3,""viewing_time"":1378}]",,
4,32046,,html-slider-response,4,115253,0.0-4.0,t6a14q70gf0sh577lsdq,female,battle,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_battle.png"" class=""main-trial""/>",,trial,,15.0,
5,54799,,survey-text,5,170053,0.0-5.0,t6a14q70gf0sh577lsdq,female,battle,,,description,,,"{""Q0"":""Jennifer is having a really difficult time because she has stage 2 cancer. She is very motivated to take on this cancer fight, but definitely needs the support of others to encourage her because it will be a long a difficult road ahead. We should donate to help ease the medical expenses. ""}"
6,8367,,survey-likert,6,178422,0.0-6.0-0.0,t6a14q70gf0sh577lsdq,female,battle,,,urgent,,,"{""Q0"":6}"
7,2441,,survey-likert,7,180865,0.0-6.0-1.0,t6a14q70gf0sh577lsdq,female,battle,,,sympathy,,,"{""Q0"":6}"
8,7663,,survey-text,8,188529,0.0-7.0,t6a14q70gf0sh577lsdq,female,battle,,,past-donations,,,"{""Q0"":""15""}"
9,2431,,survey-multi-choice,9,190961,0.0-8.0-0.0,t6a14q70gf0sh577lsdq,female,battle,,,self-cancer,,,"{""Q0"":""No""}"
10,3766,,survey-multi-choice,10,194729,0.0-8.0-1.0,t6a14q70gf0sh577lsdq,female,battle,,,ff-cancer,,,"{""Q0"":""Yes""}"
11,7000,,survey-multi-choice,11,201734,0.0-9.0,t6a14q70gf0sh577lsdq,female,battle,,,demographics,,,"{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
12,3964,,survey-text,12,205699,0.0-10.0,t6a14q70gf0sh577lsdq,female,battle,,,age,,,"{""Q0"":""38""}"
13,13561,,survey-text,13,219261,0.0-11.0,t6a14q70gf0sh577lsdq,female,battle,,,purpose,,,"{""Q0"":""I don't know. Perhaps how generous people are""}"
14,6443,,survey-text,14,225705,0.0-12.0,t6a14q70gf0sh577lsdq,female,battle,,,feedback,,,"{""Q0"":""none""}"
15,7260,debrief.html,external-html,15,233176,0.0-13.0,t6a14q70gf0sh577lsdq,female,battle,,,,,,
