,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,15070,consent.html,external-html,0,15673,0.0-0.0,xxhkn8rncvzh6ahujyv5,female,battle,,,,,,
1,5996,,image-button-response,1,21676,0.0-1.0,xxhkn8rncvzh6ahujyv5,female,battle,check-1.png,1.0,check1,,,
2,9023,,image-button-response,2,30702,0.0-2.0,xxhkn8rncvzh6ahujyv5,female,battle,check-2.png,2.0,check2,,,
3,32400,,instructions,3,63103,0.0-3.0,xxhkn8rncvzh6ahujyv5,female,battle,,,,"[{""page_index"":0,""viewing_time"":7439},{""page_index"":1,""viewing_time"":9374},{""page_index"":2,""viewing_time"":12531},{""page_index"":3,""viewing_time"":3055}]",,
4,28780,,html-slider-response,4,91886,0.0-4.0,xxhkn8rncvzh6ahujyv5,female,battle,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_battle.png"" class=""main-trial""/>",,trial,,45.0,
5,65260,,survey-text,5,157149,0.0-5.0,xxhkn8rncvzh6ahujyv5,female,battle,,,description,,,"{""Q0"":""happy to have a friend""}"
6,7501,,survey-likert,6,164653,0.0-6.0-0.0,xxhkn8rncvzh6ahujyv5,female,battle,,,urgent,,,"{""Q0"":4}"
7,8773,,survey-likert,7,173429,0.0-6.0-1.0,xxhkn8rncvzh6ahujyv5,female,battle,,,sympathy,,,"{""Q0"":4}"
8,8383,,survey-text,8,181814,0.0-7.0,xxhkn8rncvzh6ahujyv5,female,battle,,,past-donations,,,"{""Q0"":""5""}"
9,21794,,survey-multi-choice,9,203614,0.0-8.0-0.0,xxhkn8rncvzh6ahujyv5,female,battle,,,self-cancer,,,"{""Q0"":""No""}"
10,5586,,survey-multi-choice,10,209205,0.0-8.0-1.0,xxhkn8rncvzh6ahujyv5,female,battle,,,ff-cancer,,,"{""Q0"":""No""}"
11,35043,,survey-multi-choice,11,244271,0.0-9.0,xxhkn8rncvzh6ahujyv5,female,battle,,,demographics,,,"{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
12,9130,,survey-text,12,253405,0.0-10.0,xxhkn8rncvzh6ahujyv5,female,battle,,,age,,,"{""Q0"":""62""}"
13,4374,,survey-text,13,257781,0.0-11.0,xxhkn8rncvzh6ahujyv5,female,battle,,,purpose,,,"{""Q0"":""""}"
14,2310,,survey-text,14,260093,0.0-12.0,xxhkn8rncvzh6ahujyv5,female,battle,,,feedback,,,"{""Q0"":""""}"
15,21446,debrief.html,external-html,15,283839,0.0-13.0,xxhkn8rncvzh6ahujyv5,female,battle,,,,,,
