,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,54253,consent.html,external-html,0,54372,0.0-0.0,1hghvlkxcdsgpw96weqq,male,journey,,,,,,
1,2313,,image-button-response,1,56692,0.0-1.0,1hghvlkxcdsgpw96weqq,male,journey,check-1.png,1.0,check1,,,
2,5207,,image-button-response,2,61902,0.0-2.0,1hghvlkxcdsgpw96weqq,male,journey,check-2.png,2.0,check2,,,
3,46775,,instructions,3,108680,0.0-3.0,1hghvlkxcdsgpw96weqq,male,journey,,,,"[{""page_index"":0,""viewing_time"":10280},{""page_index"":1,""viewing_time"":27341},{""page_index"":2,""viewing_time"":7314},{""page_index"":3,""viewing_time"":1838}]",,
4,73836,,html-slider-response,4,182522,0.0-4.0,1hghvlkxcdsgpw96weqq,male,journey,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_journey.png"" class=""main-trial""/>",,trial,,40.0,
5,233695,,survey-text,5,416221,0.0-5.0,1hghvlkxcdsgpw96weqq,male,journey,,,description,,,"{""Q0"":""Jason is a normal person with a good character who just got a very evil disease. He is fighting it off with all his strength but the costs involved are overwhelmed. lets help make that weight a little better ""}"
6,6876,,survey-likert,6,423105,0.0-6.0-0.0,1hghvlkxcdsgpw96weqq,male,journey,,,urgent,,,"{""Q0"":5}"
7,3791,,survey-likert,7,426901,0.0-6.0-1.0,1hghvlkxcdsgpw96weqq,male,journey,,,sympathy,,,"{""Q0"":5}"
8,5469,,survey-text,8,432377,0.0-7.0,1hghvlkxcdsgpw96weqq,male,journey,,,past-donations,,,"{""Q0"":""10""}"
9,4118,,survey-multi-choice,9,436501,0.0-8.0-0.0,1hghvlkxcdsgpw96weqq,male,journey,,,ff-cancer,,,"{""Q0"":""No""}"
10,4191,,survey-multi-choice,10,440700,0.0-8.0-1.0,1hghvlkxcdsgpw96weqq,male,journey,,,self-cancer,,,"{""Q0"":""No""}"
11,17680,,survey-multi-choice,11,458408,0.0-9.0,1hghvlkxcdsgpw96weqq,male,journey,,,demographics,,,"{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$100,000 through $149,999"",""Q3"":""No""}"
12,5062,,survey-text,12,463474,0.0-10.0,1hghvlkxcdsgpw96weqq,male,journey,,,age,,,"{""Q0"":""42""}"
13,42723,,survey-text,13,506201,0.0-11.0,1hghvlkxcdsgpw96weqq,male,journey,,,purpose,,,"{""Q0"":""i thought it was interesting specially because of the fact that in the end someone in need will have a donation ""}"
14,42444,,survey-text,14,548648,0.0-12.0,1hghvlkxcdsgpw96weqq,male,journey,,,feedback,,,"{""Q0"":""there should be more things like this to spread the love and at the same time produce ""}"
15,28613,debrief.html,external-html,15,577622,0.0-13.0,1hghvlkxcdsgpw96weqq,male,journey,,,,,,
