,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,3587,consent.html,external-html,0,3679,0.0-0.0,mehbhexl3n0nza3mjm86,male,journey,,,,,,
1,2306,,image-button-response,1,5990,0.0-1.0,mehbhexl3n0nza3mjm86,male,journey,check-1.png,1.0,check1,,,
2,2241,,image-button-response,2,8233,0.0-2.0,mehbhexl3n0nza3mjm86,male,journey,check-2.png,2.0,check2,,,
3,13655,,instructions,3,21890,0.0-3.0,mehbhexl3n0nza3mjm86,male,journey,,,,"[{""page_index"":0,""viewing_time"":3123},{""page_index"":1,""viewing_time"":6775},{""page_index"":2,""viewing_time"":2940},{""page_index"":3,""viewing_time"":816}]",,
4,23158,,html-slider-response,4,45051,0.0-4.0,mehbhexl3n0nza3mjm86,male,journey,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_journey.png"" class=""main-trial""/>",,trial,,25.0,
5,27573,,survey-text,5,72626,0.0-5.0,mehbhexl3n0nza3mjm86,male,journey,,,description,,,"{""Q0"":""Jason has lymphoma and has a long road of treatments to go through.  ""}"
6,5543,,survey-likert,6,78172,0.0-6.0-0.0,mehbhexl3n0nza3mjm86,male,journey,,,urgent,,,"{""Q0"":4}"
7,2477,,survey-likert,7,80650,0.0-6.0-1.0,mehbhexl3n0nza3mjm86,male,journey,,,sympathy,,,"{""Q0"":6}"
8,3429,,survey-text,8,84082,0.0-7.0,mehbhexl3n0nza3mjm86,male,journey,,,past-donations,,,"{""Q0"":""24""}"
9,1982,,survey-multi-choice,9,86068,0.0-8.0-0.0,mehbhexl3n0nza3mjm86,male,journey,,,self-cancer,,,"{""Q0"":""No""}"
10,1781,,survey-multi-choice,10,87852,0.0-8.0-1.0,mehbhexl3n0nza3mjm86,male,journey,,,ff-cancer,,,"{""Q0"":""Yes""}"
11,6691,,survey-multi-choice,11,94557,0.0-9.0,mehbhexl3n0nza3mjm86,male,journey,,,demographics,,,"{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
12,2315,,survey-text,12,96873,0.0-10.0,mehbhexl3n0nza3mjm86,male,journey,,,age,,,"{""Q0"":""36""}"
13,2329,,survey-text,13,99203,0.0-11.0,mehbhexl3n0nza3mjm86,male,journey,,,purpose,,,"{""Q0"":""Thanks""}"
14,1909,,survey-text,14,101114,0.0-12.0,mehbhexl3n0nza3mjm86,male,journey,,,feedback,,,"{""Q0"":""Thanks""}"
15,4278,debrief.html,external-html,15,105518,0.0-13.0,mehbhexl3n0nza3mjm86,male,journey,,,,,,
