,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,15804,consent.html,external-html,0,15911,0.0-0.0,olabvfddok4tf1n08fod,female,literal,,,,,,
1,2438,,image-button-response,1,18362,0.0-1.0,olabvfddok4tf1n08fod,female,literal,check-1.png,1.0,check1,,,
2,3319,,image-button-response,2,21685,0.0-2.0,olabvfddok4tf1n08fod,female,literal,check-2.png,1.0,check2,,,
3,11804,,instructions,3,33491,0.0-3.0,olabvfddok4tf1n08fod,female,literal,,,,"[{""page_index"":0,""viewing_time"":6121},{""page_index"":1,""viewing_time"":2315},{""page_index"":2,""viewing_time"":1846},{""page_index"":3,""viewing_time"":1521}]",,
4,8954,,html-slider-response,4,42450,0.0-4.0,olabvfddok4tf1n08fod,female,literal,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_literal.png"" class=""main-trial""/>",,trial,,25.0,
5,12342,,survey-text,5,54801,0.0-5.0,olabvfddok4tf1n08fod,female,literal,,,description,,,"{""Q0"":""very good""}"
6,3200,,survey-likert,6,58005,0.0-6.0-0.0,olabvfddok4tf1n08fod,female,literal,,,sympathy,,,"{""Q0"":3}"
7,2681,,survey-likert,7,60690,0.0-6.0-1.0,olabvfddok4tf1n08fod,female,literal,,,urgent,,,"{""Q0"":3}"
8,17462,,survey-text,8,78156,0.0-7.0,olabvfddok4tf1n08fod,female,literal,,,past-donations,,,"{""Q0"":""6""}"
9,4970,,survey-multi-choice,9,83131,0.0-8.0-0.0,olabvfddok4tf1n08fod,female,literal,,,self-cancer,,,"{""Q0"":""No""}"
10,6007,,survey-multi-choice,10,89145,0.0-8.0-1.0,olabvfddok4tf1n08fod,female,literal,,,ff-cancer,,,"{""Q0"":""No""}"
11,16901,,survey-multi-choice,11,106062,0.0-9.0,olabvfddok4tf1n08fod,female,literal,,,demographics,,,"{""Q0"":""Male"",""Q1"":""Prefer not to say"",""Q2"":""Less than $10,000"",""Q3"":""Yes""}"
12,19768,,survey-text,12,125834,0.0-10.0,olabvfddok4tf1n08fod,female,literal,,,age,,,"{""Q0"":""9""}"
13,5262,,survey-text,13,131099,0.0-11.0,olabvfddok4tf1n08fod,female,literal,,,purpose,,,"{""Q0"":""""}"
14,2241,,survey-text,14,133343,0.0-12.0,olabvfddok4tf1n08fod,female,literal,,,feedback,,,"{""Q0"":""""}"
15,5846,debrief.html,external-html,15,139315,0.0-13.0,olabvfddok4tf1n08fod,female,literal,,,,,,
