,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,7407,consent.html,external-html,0,7593,0.0-0.0,s25e9v46ods6tm6279we,male,literal,,,,,,
1,1558,,image-button-response,1,9164,0.0-1.0,s25e9v46ods6tm6279we,male,literal,check-1.png,1.0,check1,,,
2,2266,,image-button-response,2,11436,0.0-2.0,s25e9v46ods6tm6279we,male,literal,check-2.png,2.0,check2,,,
3,8178,,instructions,3,19617,0.0-3.0,s25e9v46ods6tm6279we,male,literal,,,,"[{""page_index"":0,""viewing_time"":1666},{""page_index"":1,""viewing_time"":2830},{""page_index"":2,""viewing_time"":2984},{""page_index"":3,""viewing_time"":696}]",,
4,28533,,html-slider-response,4,48157,0.0-4.0,s25e9v46ods6tm6279we,male,literal,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_literal.png"" class=""main-trial""/>",,trial,,14.0,
5,17387,,survey-text,5,65548,0.0-5.0,s25e9v46ods6tm6279we,male,literal,,,description,,,"{""Q0"":""he is sick with cancer that is affecting his life. he hopes to recover and live a normal life soon with your help""}"
6,3527,,survey-likert,6,69086,0.0-6.0-0.0,s25e9v46ods6tm6279we,male,literal,,,urgent,,,"{""Q0"":4}"
7,1801,,survey-likert,7,70892,0.0-6.0-1.0,s25e9v46ods6tm6279we,male,literal,,,sympathy,,,"{""Q0"":5}"
8,2051,,survey-text,8,72948,0.0-7.0,s25e9v46ods6tm6279we,male,literal,,,past-donations,,,"{""Q0"":""5""}"
9,1649,,survey-multi-choice,9,74610,0.0-8.0-0.0,s25e9v46ods6tm6279we,male,literal,,,ff-cancer,,,"{""Q0"":""No""}"
10,1170,,survey-multi-choice,10,75793,0.0-8.0-1.0,s25e9v46ods6tm6279we,male,literal,,,self-cancer,,,"{""Q0"":""No""}"
11,6869,,survey-multi-choice,11,82701,0.0-9.0,s25e9v46ods6tm6279we,male,literal,,,demographics,,,"{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
12,2156,,survey-text,12,84868,0.0-10.0,s25e9v46ods6tm6279we,male,literal,,,age,,,"{""Q0"":""23""}"
13,10509,,survey-text,13,95387,0.0-11.0,s25e9v46ods6tm6279we,male,literal,,,purpose,,,"{""Q0"":""our opinions of a cancer diagnosis""}"
14,2878,,survey-text,14,98270,0.0-12.0,s25e9v46ods6tm6279we,male,literal,,,feedback,,,"{""Q0"":""good study\n""}"
15,4291,debrief.html,external-html,15,103699,0.0-13.0,s25e9v46ods6tm6279we,male,literal,,,,,,
