,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,9478,consent.html,external-html,0,9561,0.0-0.0,vkyzd0lwg6h6pa7117lk,male,journey,,,,,,
1,2561,,image-button-response,1,12126,0.0-1.0,vkyzd0lwg6h6pa7117lk,male,journey,check-1.png,1.0,check1,,,
2,3163,,image-button-response,2,15291,0.0-2.0,vkyzd0lwg6h6pa7117lk,male,journey,check-2.png,2.0,check2,,,
3,25142,,instructions,3,40433,0.0-3.0,vkyzd0lwg6h6pa7117lk,male,journey,,,,"[{""page_index"":0,""viewing_time"":5082},{""page_index"":1,""viewing_time"":12760},{""page_index"":2,""viewing_time"":5650},{""page_index"":3,""viewing_time"":1650}]",,
4,26833,,html-slider-response,4,67267,0.0-4.0,vkyzd0lwg6h6pa7117lk,male,journey,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_journey.png"" class=""main-trial""/>",,trial,,30.0,
5,29588,,survey-text,5,96857,0.0-5.0,vkyzd0lwg6h6pa7117lk,male,journey,,,description,,,"{""Q0"":""Jason was recently diagnosed with lymphoma. He needs some financial support to beat the disease.""}"
6,8470,,survey-likert,6,105328,0.0-6.0-0.0,vkyzd0lwg6h6pa7117lk,male,journey,,,sympathy,,,"{""Q0"":4}"
7,4013,,survey-likert,7,109342,0.0-6.0-1.0,vkyzd0lwg6h6pa7117lk,male,journey,,,urgent,,,"{""Q0"":4}"
8,3285,,survey-text,8,112628,0.0-7.0,vkyzd0lwg6h6pa7117lk,male,journey,,,past-donations,,,"{""Q0"":""1""}"
9,2232,,survey-multi-choice,9,114862,0.0-8.0-0.0,vkyzd0lwg6h6pa7117lk,male,journey,,,self-cancer,,,"{""Q0"":""No""}"
10,1924,,survey-multi-choice,10,116789,0.0-8.0-1.0,vkyzd0lwg6h6pa7117lk,male,journey,,,ff-cancer,,,"{""Q0"":""No""}"
11,9278,,survey-multi-choice,11,126073,0.0-9.0,vkyzd0lwg6h6pa7117lk,male,journey,,,demographics,,,"{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""More than $150,000"",""Q3"":""Yes""}"
12,2830,,survey-text,12,128905,0.0-10.0,vkyzd0lwg6h6pa7117lk,male,journey,,,age,,,"{""Q0"":""28""}"
13,1448,,survey-text,13,130355,0.0-11.0,vkyzd0lwg6h6pa7117lk,male,journey,,,purpose,,,"{""Q0"":""""}"
14,831,,survey-text,14,131187,0.0-12.0,vkyzd0lwg6h6pa7117lk,male,journey,,,feedback,,,"{""Q0"":""""}"
15,8583,debrief.html,external-html,15,139998,0.0-13.0,vkyzd0lwg6h6pa7117lk,male,journey,,,,,,
