,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,37514,consent.html,external-html,0,37749,0.0-0.0,xfa1alqn82414j8clcqf,female,journey,,,,,,
1,2990,,image-button-response,1,40743,0.0-1.0,xfa1alqn82414j8clcqf,female,journey,check-1.png,1.0,check1,,,
2,3726,,image-button-response,2,44471,0.0-2.0,xfa1alqn82414j8clcqf,female,journey,check-2.png,2.0,check2,,,
3,60641,,instructions,3,105113,0.0-3.0,xfa1alqn82414j8clcqf,female,journey,,,,"[{""page_index"":0,""viewing_time"":8937},{""page_index"":1,""viewing_time"":41245},{""page_index"":2,""viewing_time"":6353},{""page_index"":3,""viewing_time"":4105}]",,
4,100449,,html-slider-response,4,205566,0.0-4.0,xfa1alqn82414j8clcqf,female,journey,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_journey.png"" class=""main-trial""/>",,trial,,35.0,
5,188586,,survey-text,5,394156,0.0-5.0,xfa1alqn82414j8clcqf,female,journey,,,description,,,"{""Q0"":""Jennifer has been diagnosed with stage II Lymphoma. This is going to be a long road for her. She has to under go chemo  and maybe radiation. She is going to need help with expenses to get through this journey.""}"
6,8310,,survey-likert,6,402469,0.0-6.0-0.0,xfa1alqn82414j8clcqf,female,journey,,,sympathy,,,"{""Q0"":6}"
7,4461,,survey-likert,7,406934,0.0-6.0-1.0,xfa1alqn82414j8clcqf,female,journey,,,urgent,,,"{""Q0"":5}"
8,6005,,survey-text,8,412942,0.0-7.0,xfa1alqn82414j8clcqf,female,journey,,,past-donations,,,"{""Q0"":""2""}"
9,6246,,survey-multi-choice,9,419192,0.0-8.0-0.0,xfa1alqn82414j8clcqf,female,journey,,,ff-cancer,,,"{""Q0"":""Yes""}"
10,3587,,survey-multi-choice,10,422784,0.0-8.0-1.0,xfa1alqn82414j8clcqf,female,journey,,,self-cancer,,,"{""Q0"":""No""}"
11,20492,,survey-multi-choice,11,443284,0.0-9.0,xfa1alqn82414j8clcqf,female,journey,,,demographics,,,"{""Q0"":""Female"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
12,5412,,survey-text,12,448699,0.0-10.0,xfa1alqn82414j8clcqf,female,journey,,,age,,,"{""Q0"":""63""}"
13,4296,,survey-text,13,452998,0.0-11.0,xfa1alqn82414j8clcqf,female,journey,,,purpose,,,"{""Q0"":""""}"
14,10864,,survey-text,14,463866,0.0-12.0,xfa1alqn82414j8clcqf,female,journey,,,feedback,,,"{""Q0"":""no problems""}"
15,17874,debrief.html,external-html,15,482295,0.0-13.0,xfa1alqn82414j8clcqf,female,journey,,,,,,
