,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,7861,consent.html,external-html,0,8048,0.0-0.0,xk1pef8w9uaswn9dtks7,female,journey,,,,,,
1,9503,,image-button-response,1,17561,0.0-1.0,xk1pef8w9uaswn9dtks7,female,journey,check-1.png,1.0,check1,,,
2,15369,,image-button-response,2,32936,0.0-2.0,xk1pef8w9uaswn9dtks7,female,journey,check-2.png,2.0,check2,,,
3,11159,,instructions,3,44097,0.0-3.0,xk1pef8w9uaswn9dtks7,female,journey,,,,"[{""page_index"":0,""viewing_time"":5859},{""page_index"":1,""viewing_time"":2219},{""page_index"":2,""viewing_time"":1469},{""page_index"":3,""viewing_time"":1610}]",,
4,31514,,html-slider-response,4,75618,0.0-4.0,xk1pef8w9uaswn9dtks7,female,journey,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_journey.png"" class=""main-trial""/>",,trial,,35.0,
5,726943,,survey-text,5,802566,0.0-5.0,xk1pef8w9uaswn9dtks7,female,journey,,,description,,,"{""Q0"":""Jennifer's is a middle class family.but she is good and helpful activity.""}"
6,14935,,survey-likert,6,817506,0.0-6.0-0.0,xk1pef8w9uaswn9dtks7,female,journey,,,urgent,,,"{""Q0"":4}"
7,6676,,survey-likert,7,824186,0.0-6.0-1.0,xk1pef8w9uaswn9dtks7,female,journey,,,sympathy,,,"{""Q0"":5}"
8,11734,,survey-text,8,835924,0.0-7.0,xk1pef8w9uaswn9dtks7,female,journey,,,past-donations,,,"{""Q0"":""2""}"
9,10070,,survey-multi-choice,9,846004,0.0-8.0-0.0,xk1pef8w9uaswn9dtks7,female,journey,,,self-cancer,,,"{""Q0"":""No""}"
10,4825,,survey-multi-choice,10,850835,0.0-8.0-1.0,xk1pef8w9uaswn9dtks7,female,journey,,,ff-cancer,,,"{""Q0"":""Yes""}"
11,16740,,survey-multi-choice,11,867596,0.0-9.0,xk1pef8w9uaswn9dtks7,female,journey,,,demographics,,,"{""Q0"":""Male"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
12,8922,,survey-text,12,876523,0.0-10.0,xk1pef8w9uaswn9dtks7,female,journey,,,age,,,"{""Q0"":""47""}"
13,21867,,survey-text,13,898392,0.0-11.0,xk1pef8w9uaswn9dtks7,female,journey,,,purpose,,,"{""Q0"":""good and interesting questions""}"
14,9646,,survey-text,14,908042,0.0-12.0,xk1pef8w9uaswn9dtks7,female,journey,,,feedback,,,"{""Q0"":""nice""}"
15,7680,debrief.html,external-html,15,916091,0.0-13.0,xk1pef8w9uaswn9dtks7,female,journey,,,,,,
