,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,18097,consent.html,external-html,0,18521,0.0-0.0,ycx9w6dfvrlbn9n4uxo7,female,journey,,,,,,
1,5530,,image-button-response,1,24058,0.0-1.0,ycx9w6dfvrlbn9n4uxo7,female,journey,check-1.png,1.0,check1,,,
2,7404,,image-button-response,2,31466,0.0-2.0,ycx9w6dfvrlbn9n4uxo7,female,journey,check-2.png,2.0,check2,,,
3,20518,,instructions,3,51986,0.0-3.0,ycx9w6dfvrlbn9n4uxo7,female,journey,,,,"[{""page_index"":0,""viewing_time"":5387},{""page_index"":1,""viewing_time"":8769},{""page_index"":2,""viewing_time"":4688},{""page_index"":3,""viewing_time"":1672}]",,
4,45633,,html-slider-response,4,97625,0.0-4.0,ycx9w6dfvrlbn9n4uxo7,female,journey,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_journey.png"" class=""main-trial""/>",,trial,,34.0,
5,162476,,survey-text,5,260106,0.0-5.0,ycx9w6dfvrlbn9n4uxo7,female,journey,,,description,,,"{""Q0"":""My best friend Jennifer knows that she a heart of gold. But after undergoing complicated thyroid surgery. Jenifer has diagnosed with Stage II Lymphoma.""}"
6,7067,,survey-likert,6,267178,0.0-6.0-0.0,ycx9w6dfvrlbn9n4uxo7,female,journey,,,urgent,,,"{""Q0"":4}"
7,3998,,survey-likert,7,271258,0.0-6.0-1.0,ycx9w6dfvrlbn9n4uxo7,female,journey,,,sympathy,,,"{""Q0"":5}"
8,10480,,survey-text,8,281834,0.0-7.0,ycx9w6dfvrlbn9n4uxo7,female,journey,,,past-donations,,,"{""Q0"":""6""}"
9,11272,,survey-multi-choice,9,293115,0.0-8.0-0.0,ycx9w6dfvrlbn9n4uxo7,female,journey,,,ff-cancer,,,"{""Q0"":""Yes""}"
10,4956,,survey-multi-choice,10,298187,0.0-8.0-1.0,ycx9w6dfvrlbn9n4uxo7,female,journey,,,self-cancer,,,"{""Q0"":""No""}"
11,21242,,survey-multi-choice,11,319532,0.0-9.0,ycx9w6dfvrlbn9n4uxo7,female,journey,,,demographics,,,"{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
12,28936,,survey-text,12,348576,0.0-10.0,ycx9w6dfvrlbn9n4uxo7,female,journey,,,age,,,"{""Q0"":""50""}"
13,2263,,survey-text,13,350842,0.0-11.0,ycx9w6dfvrlbn9n4uxo7,female,journey,,,purpose,,,"{""Q0"":""""}"
14,3345,,survey-text,14,354192,0.0-12.0,ycx9w6dfvrlbn9n4uxo7,female,journey,,,feedback,,,"{""Q0"":""""}"
15,15826,debrief.html,external-html,15,371721,0.0-13.0,ycx9w6dfvrlbn9n4uxo7,female,journey,,,,,,
