,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,8496,consent.html,external-html,0,8629,0.0-0.0,1b7f6mc9q7n3v4q6dwqy,female,battle,,,,,,
1,2220,,image-button-response,1,10853,0.0-1.0,1b7f6mc9q7n3v4q6dwqy,female,battle,check-1.png,1.0,check1,,,
2,5364,,image-button-response,2,16220,0.0-2.0,1b7f6mc9q7n3v4q6dwqy,female,battle,check-2.png,2.0,check2,,,
3,45871,,instructions,3,62091,0.0-3.0,1b7f6mc9q7n3v4q6dwqy,female,battle,,,,"[{""page_index"":0,""viewing_time"":8181},{""page_index"":1,""viewing_time"":25124},{""page_index"":2,""viewing_time"":10949},{""page_index"":3,""viewing_time"":1617}]",,
4,64152,,html-slider-response,4,126247,0.0-4.0,1b7f6mc9q7n3v4q6dwqy,female,battle,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_battle.png"" class=""main-trial""/>",,trial,,25.0,
5,70704,,survey-text,5,196952,0.0-5.0,1b7f6mc9q7n3v4q6dwqy,female,battle,,,description,,,"{""Q0"":""Jennifer has been fighting and receiving chemo. Her friend is trying to help raise money for her bills.""}"
6,8793,,survey-likert,6,205749,0.0-6.0-0.0,1b7f6mc9q7n3v4q6dwqy,female,battle,,,sympathy,,,"{""Q0"":6}"
7,4465,,survey-likert,7,210242,0.0-6.0-1.0,1b7f6mc9q7n3v4q6dwqy,female,battle,,,urgent,,,"{""Q0"":6}"
8,6648,,survey-text,8,216922,0.0-7.0,1b7f6mc9q7n3v4q6dwqy,female,battle,,,past-donations,,,"{""Q0"":""2""}"
9,9483,,survey-multi-choice,9,226408,0.0-8.0-0.0,1b7f6mc9q7n3v4q6dwqy,female,battle,,,ff-cancer,,,"{""Q0"":""No""}"
10,3106,,survey-multi-choice,10,229546,0.0-8.0-1.0,1b7f6mc9q7n3v4q6dwqy,female,battle,,,self-cancer,,,"{""Q0"":""No""}"
11,11619,,survey-multi-choice,11,241201,0.0-9.0,1b7f6mc9q7n3v4q6dwqy,female,battle,,,demographics,,,"{""Q0"":""Female"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""Less than $10,000"",""Q3"":""Yes""}"
12,3841,,survey-text,12,245070,0.0-10.0,1b7f6mc9q7n3v4q6dwqy,female,battle,,,age,,,"{""Q0"":""40""}"
13,2414,,survey-text,13,247486,0.0-11.0,1b7f6mc9q7n3v4q6dwqy,female,battle,,,purpose,,,"{""Q0"":""""}"
14,1476,,survey-text,14,248964,0.0-12.0,1b7f6mc9q7n3v4q6dwqy,female,battle,,,feedback,,,"{""Q0"":""""}"
15,7204,debrief.html,external-html,15,256570,0.0-13.0,1b7f6mc9q7n3v4q6dwqy,female,battle,,,,,,
