,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,26964,consent.html,external-html,0,28164,0.0-0.0,8jyx06v5twv7grg9rkwp,female,journey,,,,,,
1,3233,,image-button-response,1,31403,0.0-1.0,8jyx06v5twv7grg9rkwp,female,journey,check-1.png,1.0,check1,,,
2,3653,,image-button-response,2,35058,0.0-2.0,8jyx06v5twv7grg9rkwp,female,journey,check-2.png,2.0,check2,,,
3,33473,,instructions,3,68532,0.0-3.0,8jyx06v5twv7grg9rkwp,female,journey,,,,"[{""page_index"":0,""viewing_time"":9734},{""page_index"":1,""viewing_time"":17476},{""page_index"":2,""viewing_time"":4800},{""page_index"":3,""viewing_time"":1462}]",,
4,55067,,html-slider-response,4,123601,0.0-4.0,8jyx06v5twv7grg9rkwp,female,journey,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_journey.png"" class=""main-trial""/>",,trial,,25.0,
5,115149,,survey-text,5,238752,0.0-5.0,8jyx06v5twv7grg9rkwp,female,journey,,,description,,,"{""Q0"":""Jennifer has been diagnosed with Stage II Lymphoma and will have to undergo 3 - 4 months of Chemo Therapy.  Her insurance will not cover here expenses.  She needs help with her expenses so she can get the full benefit of the therapy.  Let's pitch in and help.""}"
6,11520,,survey-likert,6,250274,0.0-6.0-0.0,8jyx06v5twv7grg9rkwp,female,journey,,,sympathy,,,"{""Q0"":6}"
7,9292,,survey-likert,7,259567,0.0-6.0-1.0,8jyx06v5twv7grg9rkwp,female,journey,,,urgent,,,"{""Q0"":6}"
8,10856,,survey-text,8,270425,0.0-7.0,8jyx06v5twv7grg9rkwp,female,journey,,,past-donations,,,"{""Q0"":""5""}"
9,5340,,survey-multi-choice,9,275767,0.0-8.0-0.0,8jyx06v5twv7grg9rkwp,female,journey,,,self-cancer,,,"{""Q0"":""Yes""}"
10,5846,,survey-multi-choice,10,281615,0.0-8.0-1.0,8jyx06v5twv7grg9rkwp,female,journey,,,ff-cancer,,,"{""Q0"":""Yes""}"
11,13756,,survey-multi-choice,11,295379,0.0-9.0,8jyx06v5twv7grg9rkwp,female,journey,,,demographics,,,"{""Q0"":""Male"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
12,5797,,survey-text,12,301179,0.0-10.0,8jyx06v5twv7grg9rkwp,female,journey,,,age,,,"{""Q0"":""73""}"
13,39059,,survey-text,13,340238,0.0-11.0,8jyx06v5twv7grg9rkwp,female,journey,,,purpose,,,"{""Q0"":""To see how empathy is reflected in a willingness to donate to a crowdfunding campaign.""}"
14,1997,,survey-text,14,342236,0.0-12.0,8jyx06v5twv7grg9rkwp,female,journey,,,feedback,,,"{""Q0"":""""}"
15,37358,debrief.html,external-html,15,383147,0.0-13.0,8jyx06v5twv7grg9rkwp,female,journey,,,,,,
