,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,115449,consent.html,external-html,0,115564,0.0-0.0,f5av57xnrgv4pbpsawnt,male,battle,,,,,,
1,4704,,image-button-response,1,120272,0.0-1.0,f5av57xnrgv4pbpsawnt,male,battle,check-1.png,1.0,check1,,,
2,4374,,image-button-response,2,124647,0.0-2.0,f5av57xnrgv4pbpsawnt,male,battle,check-2.png,2.0,check2,,,
3,79138,,instructions,3,203786,0.0-3.0,f5av57xnrgv4pbpsawnt,male,battle,,,,"[{""page_index"":0,""viewing_time"":15458},{""page_index"":1,""viewing_time"":54235},{""page_index"":2,""viewing_time"":6514},{""page_index"":3,""viewing_time"":2931}]",,
4,50599,,html-slider-response,4,254387,0.0-4.0,f5av57xnrgv4pbpsawnt,male,battle,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_battle.png"" class=""main-trial""/>",,trial,,49.0,
5,58566,,survey-text,5,312955,0.0-5.0,f5av57xnrgv4pbpsawnt,male,battle,,,description,,,"{""Q0"":""Jason has a very serious but treatable form of cancer.  Jason has chosen to fight the cancer but the treatments will be long and very expensive.""}"
6,11433,,survey-likert,6,324389,0.0-6.0-0.0,f5av57xnrgv4pbpsawnt,male,battle,,,urgent,,,"{""Q0"":6}"
7,6318,,survey-likert,7,330709,0.0-6.0-1.0,f5av57xnrgv4pbpsawnt,male,battle,,,sympathy,,,"{""Q0"":5}"
8,9986,,survey-text,8,340696,0.0-7.0,f5av57xnrgv4pbpsawnt,male,battle,,,past-donations,,,"{""Q0"":""2""}"
9,7508,,survey-multi-choice,9,348208,0.0-8.0-0.0,f5av57xnrgv4pbpsawnt,male,battle,,,self-cancer,,,"{""Q0"":""Yes""}"
10,4543,,survey-multi-choice,10,352753,0.0-8.0-1.0,f5av57xnrgv4pbpsawnt,male,battle,,,ff-cancer,,,"{""Q0"":""Yes""}"
11,19351,,survey-multi-choice,11,372113,0.0-9.0,f5av57xnrgv4pbpsawnt,male,battle,,,demographics,,,"{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
12,6336,,survey-text,12,378451,0.0-10.0,f5av57xnrgv4pbpsawnt,male,battle,,,age,,,"{""Q0"":""53""}"
13,31412,,survey-text,13,409863,0.0-11.0,f5av57xnrgv4pbpsawnt,male,battle,,,purpose,,,"{""Q0"":""The effects of human compassion levels on charitable giving?""}"
14,4120,,survey-text,14,413985,0.0-12.0,f5av57xnrgv4pbpsawnt,male,battle,,,feedback,,,"{""Q0"":""""}"
15,395315,debrief.html,external-html,15,809691,0.0-13.0,f5av57xnrgv4pbpsawnt,male,battle,,,,,,
