,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,4700,consent.html,external-html,0,4799,0.0-0.0,keohu8gjpkgaagslqaq5,male,battle,,,,,,
1,3088,,image-button-response,1,7893,0.0-1.0,keohu8gjpkgaagslqaq5,male,battle,check-1.png,1.0,check1,,,
2,5360,,image-button-response,2,13257,0.0-2.0,keohu8gjpkgaagslqaq5,male,battle,check-2.png,2.0,check2,,,
3,34650,,instructions,3,47911,0.0-3.0,keohu8gjpkgaagslqaq5,male,battle,,,,"[{""page_index"":0,""viewing_time"":8967},{""page_index"":1,""viewing_time"":16348},{""page_index"":2,""viewing_time"":6951},{""page_index"":3,""viewing_time"":2380}]",,
4,30249,,html-slider-response,4,78169,0.0-4.0,keohu8gjpkgaagslqaq5,male,battle,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_battle.png"" class=""main-trial""/>",,trial,,25.0,
5,80168,,survey-text,5,158358,0.0-5.0,keohu8gjpkgaagslqaq5,male,battle,,,description,,,"{""Q0"":""I would describe Jason's situation as tragic. I know that Jason has a long and painful fight ahead with his cancer.""}"
6,15459,,survey-likert,6,173832,0.0-6.0-0.0,keohu8gjpkgaagslqaq5,male,battle,,,urgent,,,"{""Q0"":6}"
7,5536,,survey-likert,7,179372,0.0-6.0-1.0,keohu8gjpkgaagslqaq5,male,battle,,,sympathy,,,"{""Q0"":6}"
8,12016,,survey-text,8,191393,0.0-7.0,keohu8gjpkgaagslqaq5,male,battle,,,past-donations,,,"{""Q0"":""5""}"
9,8846,,survey-multi-choice,9,200254,0.0-8.0-0.0,keohu8gjpkgaagslqaq5,male,battle,,,ff-cancer,,,"{""Q0"":""No""}"
10,4654,,survey-multi-choice,10,204914,0.0-8.0-1.0,keohu8gjpkgaagslqaq5,male,battle,,,self-cancer,,,"{""Q0"":""No""}"
11,28063,,survey-multi-choice,11,232995,0.0-9.0,keohu8gjpkgaagslqaq5,male,battle,,,demographics,,,"{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
12,6075,,survey-text,12,239076,0.0-10.0,keohu8gjpkgaagslqaq5,male,battle,,,age,,,"{""Q0"":""23""}"
13,33572,,survey-text,13,272654,0.0-11.0,keohu8gjpkgaagslqaq5,male,battle,,,purpose,,,"{""Q0"":""I think you were testing yo see how charitable they are when they read relatable stories.""}"
14,2139,,survey-text,14,274796,0.0-12.0,keohu8gjpkgaagslqaq5,male,battle,,,feedback,,,"{""Q0"":""""}"
15,5302,debrief.html,external-html,15,280474,0.0-13.0,keohu8gjpkgaagslqaq5,male,battle,,,,,,
