,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,7190,consent.html,external-html,0,7290,0.0-0.0,ok0y6jz9fkpsqcfv4b67,female,journey,,,,,,
1,2109,,image-button-response,1,9401,0.0-1.0,ok0y6jz9fkpsqcfv4b67,female,journey,check-1.png,1.0,check1,,,
2,3230,,image-button-response,2,12632,0.0-2.0,ok0y6jz9fkpsqcfv4b67,female,journey,check-2.png,2.0,check2,,,
3,28126,,instructions,3,40759,0.0-3.0,ok0y6jz9fkpsqcfv4b67,female,journey,,,,"[{""page_index"":0,""viewing_time"":4766},{""page_index"":1,""viewing_time"":17464},{""page_index"":2,""viewing_time"":4947},{""page_index"":3,""viewing_time"":949}]",,
4,23496,,html-slider-response,4,64256,0.0-4.0,ok0y6jz9fkpsqcfv4b67,female,journey,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_journey.png"" class=""main-trial""/>",,trial,,25.0,
5,8708,,survey-text,5,72969,0.0-5.0,ok0y6jz9fkpsqcfv4b67,female,journey,,,description,,,"{""Q0"":""She is sick with cancer""}"
6,7271,,survey-likert,6,80245,0.0-6.0-0.0,ok0y6jz9fkpsqcfv4b67,female,journey,,,sympathy,,,"{""Q0"":6}"
7,3779,,survey-likert,7,84027,0.0-6.0-1.0,ok0y6jz9fkpsqcfv4b67,female,journey,,,urgent,,,"{""Q0"":6}"
8,3354,,survey-text,8,87383,0.0-7.0,ok0y6jz9fkpsqcfv4b67,female,journey,,,past-donations,,,"{""Q0"":""2""}"
9,2303,,survey-multi-choice,9,89689,0.0-8.0-0.0,ok0y6jz9fkpsqcfv4b67,female,journey,,,ff-cancer,,,"{""Q0"":""Yes""}"
10,2340,,survey-multi-choice,10,92032,0.0-8.0-1.0,ok0y6jz9fkpsqcfv4b67,female,journey,,,self-cancer,,,"{""Q0"":""No""}"
11,10509,,survey-multi-choice,11,102548,0.0-9.0,ok0y6jz9fkpsqcfv4b67,female,journey,,,demographics,,,"{""Q0"":""Female"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""Less than $10,000"",""Q3"":""Yes""}"
12,2991,,survey-text,12,105541,0.0-10.0,ok0y6jz9fkpsqcfv4b67,female,journey,,,age,,,"{""Q0"":""25""}"
13,3804,,survey-text,13,109348,0.0-11.0,ok0y6jz9fkpsqcfv4b67,female,journey,,,purpose,,,"{""Q0"":""""}"
14,1431,,survey-text,14,110781,0.0-12.0,ok0y6jz9fkpsqcfv4b67,female,journey,,,feedback,,,"{""Q0"":""""}"
15,12310,debrief.html,external-html,15,123740,0.0-13.0,ok0y6jz9fkpsqcfv4b67,female,journey,,,,,,
