,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,29615,consent.html,external-html,0,30603,0.0-0.0,v97zt6zep3l5uls4evu2,male,battle,,,,,,
1,2391,,image-button-response,1,33002,0.0-1.0,v97zt6zep3l5uls4evu2,male,battle,check-1.png,1.0,check1,,,
2,2986,,image-button-response,2,35990,0.0-2.0,v97zt6zep3l5uls4evu2,male,battle,check-2.png,2.0,check2,,,
3,25818,,instructions,3,61811,0.0-3.0,v97zt6zep3l5uls4evu2,male,battle,,,,"[{""page_index"":0,""viewing_time"":5317},{""page_index"":1,""viewing_time"":9221},{""page_index"":2,""viewing_time"":9429},{""page_index"":3,""viewing_time"":1850}]",,
4,30712,,html-slider-response,4,92532,0.0-4.0,v97zt6zep3l5uls4evu2,male,battle,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_battle.png"" class=""main-trial""/>",,trial,,0.0,
5,23065,,survey-text,5,115601,0.0-5.0,v97zt6zep3l5uls4evu2,male,battle,,,description,,,"{""Q0"":""He has cancer.  He can't afford the treatment.""}"
6,8089,,survey-likert,6,123694,0.0-6.0-0.0,v97zt6zep3l5uls4evu2,male,battle,,,urgent,,,"{""Q0"":6}"
7,5116,,survey-likert,7,128814,0.0-6.0-1.0,v97zt6zep3l5uls4evu2,male,battle,,,sympathy,,,"{""Q0"":6}"
8,5462,,survey-text,8,134281,0.0-7.0,v97zt6zep3l5uls4evu2,male,battle,,,past-donations,,,"{""Q0"":""1""}"
9,3153,,survey-multi-choice,9,137452,0.0-8.0-0.0,v97zt6zep3l5uls4evu2,male,battle,,,self-cancer,,,"{""Q0"":""No""}"
10,4584,,survey-multi-choice,10,142043,0.0-8.0-1.0,v97zt6zep3l5uls4evu2,male,battle,,,ff-cancer,,,"{""Q0"":""No""}"
11,15349,,survey-multi-choice,11,157406,0.0-9.0,v97zt6zep3l5uls4evu2,male,battle,,,demographics,,,"{""Q0"":""Female"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""Less than $10,000"",""Q3"":""Yes""}"
12,4012,,survey-text,12,161422,0.0-10.0,v97zt6zep3l5uls4evu2,male,battle,,,age,,,"{""Q0"":""24""}"
13,54613,,survey-text,13,216042,0.0-11.0,v97zt6zep3l5uls4evu2,male,battle,,,purpose,,,"{""Q0"":""How much do different descriptions of need cause people to donate?""}"
14,2685,,survey-text,14,218731,0.0-12.0,v97zt6zep3l5uls4evu2,male,battle,,,feedback,,,"{""Q0"":""""}"
15,19571,debrief.html,external-html,15,238497,0.0-13.0,v97zt6zep3l5uls4evu2,male,battle,,,,,,
