,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,13466,consent.html,external-html,0,13602,0.0-0.0,vqvabz99djca0fhu0z1c,female,battle,,,,,,
1,4609,,image-button-response,1,18226,0.0-1.0,vqvabz99djca0fhu0z1c,female,battle,check-1.png,1.0,check1,,,
2,4347,,image-button-response,2,22576,0.0-2.0,vqvabz99djca0fhu0z1c,female,battle,check-2.png,2.0,check2,,,
3,82994,,instructions,3,105571,0.0-3.0,vqvabz99djca0fhu0z1c,female,battle,,,,"[{""page_index"":0,""viewing_time"":14101},{""page_index"":1,""viewing_time"":58217},{""page_index"":2,""viewing_time"":7377},{""page_index"":3,""viewing_time"":3295}]",,
4,98455,,html-slider-response,4,204033,0.0-4.0,vqvabz99djca0fhu0z1c,female,battle,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_battle.png"" class=""main-trial""/>",,trial,,40.0,
5,79922,,survey-text,5,283960,0.0-5.0,vqvabz99djca0fhu0z1c,female,battle,,,description,,,"{""Q0"":""As a best friends in the story, I would like to help her as much as possible. If she needs to support financially to keep her chemotherapy, she would help to use it for her treatment. ""}"
6,13876,,survey-likert,6,297842,0.0-6.0-0.0,vqvabz99djca0fhu0z1c,female,battle,,,sympathy,,,"{""Q0"":6}"
7,8985,,survey-likert,7,306831,0.0-6.0-1.0,vqvabz99djca0fhu0z1c,female,battle,,,urgent,,,"{""Q0"":5}"
8,8415,,survey-text,8,315250,0.0-7.0,vqvabz99djca0fhu0z1c,female,battle,,,past-donations,,,"{""Q0"":""15""}"
9,7598,,survey-multi-choice,9,322855,0.0-8.0-0.0,vqvabz99djca0fhu0z1c,female,battle,,,ff-cancer,,,"{""Q0"":""Yes""}"
10,3090,,survey-multi-choice,10,325950,0.0-8.0-1.0,vqvabz99djca0fhu0z1c,female,battle,,,self-cancer,,,"{""Q0"":""No""}"
11,10086,,survey-multi-choice,11,336064,0.0-9.0,vqvabz99djca0fhu0z1c,female,battle,,,demographics,,,"{""Q0"":""Female"",""Q1"":""Doctorate (e.g. PhD, EdD)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
12,6666,,survey-text,12,342734,0.0-10.0,vqvabz99djca0fhu0z1c,female,battle,,,age,,,"{""Q0"":""38""}"
13,6064,,survey-text,13,348801,0.0-11.0,vqvabz99djca0fhu0z1c,female,battle,,,purpose,,,"{""Q0"":""""}"
14,2148,,survey-text,14,350952,0.0-12.0,vqvabz99djca0fhu0z1c,female,battle,,,feedback,,,"{""Q0"":""""}"
15,12526,debrief.html,external-html,15,363835,0.0-13.0,vqvabz99djca0fhu0z1c,female,battle,,,,,,
