,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,6070,consent.html,external-html,0,6078,0.0-0.0,z8vyfbrl6tehakn022ho,female,journey,,,,,,
1,1921,,image-button-response,1,8004,0.0-1.0,z8vyfbrl6tehakn022ho,female,journey,check-1.png,1.0,check1,,,
2,3128,,image-button-response,2,11133,0.0-2.0,z8vyfbrl6tehakn022ho,female,journey,check-2.png,2.0,check2,,,
3,17234,,instructions,3,28368,0.0-3.0,z8vyfbrl6tehakn022ho,female,journey,,,,"[{""page_index"":0,""viewing_time"":7423},{""page_index"":1,""viewing_time"":5796},{""page_index"":2,""viewing_time"":2811},{""page_index"":3,""viewing_time"":1203}]",,
4,18683,,html-slider-response,4,47053,0.0-4.0,z8vyfbrl6tehakn022ho,female,journey,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_journey.png"" class=""main-trial""/>",,trial,,40.0,
5,18851,,survey-text,5,65905,0.0-5.0,z8vyfbrl6tehakn022ho,female,journey,,,description,,,"{""Q0"":""She has been battling lymphoma.  She could use funds to help with expenses from the battle and life. ""}"
6,10582,,survey-likert,6,76489,0.0-6.0-0.0,z8vyfbrl6tehakn022ho,female,journey,,,sympathy,,,"{""Q0"":6}"
7,2766,,survey-likert,7,79258,0.0-6.0-1.0,z8vyfbrl6tehakn022ho,female,journey,,,urgent,,,"{""Q0"":6}"
8,3729,,survey-text,8,82989,0.0-7.0,z8vyfbrl6tehakn022ho,female,journey,,,past-donations,,,"{""Q0"":""15""}"
9,2224,,survey-multi-choice,9,85218,0.0-8.0-0.0,z8vyfbrl6tehakn022ho,female,journey,,,self-cancer,,,"{""Q0"":""No""}"
10,1719,,survey-multi-choice,10,86939,0.0-8.0-1.0,z8vyfbrl6tehakn022ho,female,journey,,,ff-cancer,,,"{""Q0"":""Yes""}"
11,5624,,survey-multi-choice,11,92570,0.0-9.0,z8vyfbrl6tehakn022ho,female,journey,,,demographics,,,"{""Q0"":""Male"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$100,000 through $149,999"",""Q3"":""Yes""}"
12,2165,,survey-text,12,94736,0.0-10.0,z8vyfbrl6tehakn022ho,female,journey,,,age,,,"{""Q0"":""44""}"
13,5768,,survey-text,13,100506,0.0-11.0,z8vyfbrl6tehakn022ho,female,journey,,,purpose,,,"{""Q0"":""To see how generous people are""}"
14,2415,,survey-text,14,102922,0.0-12.0,z8vyfbrl6tehakn022ho,female,journey,,,feedback,,,"{""Q0"":""No""}"
15,9649,debrief.html,external-html,15,112828,0.0-13.0,z8vyfbrl6tehakn022ho,female,journey,,,,,,
