,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,192544,consent.html,external-html,0,192707,0.0-0.0,0uto7dn021st1puhwvov,male,battle,,,,,,
1,3532,,image-button-response,1,196245,0.0-1.0,0uto7dn021st1puhwvov,male,battle,check-1.png,1.0,check1,,,
2,57,,image-button-response,2,196315,0.0-2.0,0uto7dn021st1puhwvov,male,battle,check-2.png,1.0,check2,,,
3,95800,,instructions,3,292118,0.0-3.0,0uto7dn021st1puhwvov,male,battle,,,,"[{""page_index"":0,""viewing_time"":3387},{""page_index"":1,""viewing_time"":66270},{""page_index"":2,""viewing_time"":23379},{""page_index"":3,""viewing_time"":2762}]",,
4,11590,,html-slider-response,4,303712,0.0-4.0,0uto7dn021st1puhwvov,male,battle,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_battle.png"" class=""main-trial""/>",,trial,,35.0,
5,9615,,survey-text,5,313339,0.0-5.0,0uto7dn021st1puhwvov,male,battle,,,description,,,"{""Q0"":""""}"
6,8844,,survey-likert,6,322195,0.0-6.0-0.0,0uto7dn021st1puhwvov,male,battle,,,sympathy,,,"{""Q0"":5}"
7,9592,,survey-likert,7,331793,0.0-6.0-1.0,0uto7dn021st1puhwvov,male,battle,,,urgent,,,"{""Q0"":5}"
8,53,,survey-text,8,331855,0.0-7.0,0uto7dn021st1puhwvov,male,battle,,,past-donations,,,"{""Q0"":""""}"
9,4779,,survey-multi-choice,9,336641,0.0-8.0-0.0,0uto7dn021st1puhwvov,male,battle,,,self-cancer,,,"{""Q0"":""No""}"
10,4119,,survey-multi-choice,10,340767,0.0-8.0-1.0,0uto7dn021st1puhwvov,male,battle,,,ff-cancer,,,"{""Q0"":""No""}"
11,28771,,survey-multi-choice,11,369575,0.0-9.0,0uto7dn021st1puhwvov,male,battle,,,demographics,,,"{""Q0"":""Female"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
12,42509,,survey-text,12,412095,0.0-10.0,0uto7dn021st1puhwvov,male,battle,,,age,,,"{""Q0"":""1980""}"
13,6118,,survey-text,13,418216,0.0-11.0,0uto7dn021st1puhwvov,male,battle,,,purpose,,,"{""Q0"":""""}"
14,51,,survey-text,14,418270,0.0-12.0,0uto7dn021st1puhwvov,male,battle,,,feedback,,,"{""Q0"":""""}"
15,11129,debrief.html,external-html,15,429848,0.0-13.0,0uto7dn021st1puhwvov,male,battle,,,,,,
