,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,806449,consent.html,external-html,0,806584,0.0-0.0,2fgx0e179atm1f3892wu,female,battle,,,,,,
1,3313,,image-button-response,1,809900,0.0-1.0,2fgx0e179atm1f3892wu,female,battle,check-1.png,1.0,check1,,,
2,4296,,image-button-response,2,814197,0.0-2.0,2fgx0e179atm1f3892wu,female,battle,check-2.png,2.0,check2,,,
3,86112,,instructions,3,900309,0.0-3.0,2fgx0e179atm1f3892wu,female,battle,,,,"[{""page_index"":0,""viewing_time"":10322},{""page_index"":1,""viewing_time"":63912},{""page_index"":2,""viewing_time"":10560},{""page_index"":3,""viewing_time"":1317}]",,
4,75995,,html-slider-response,4,976307,0.0-4.0,2fgx0e179atm1f3892wu,female,battle,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>",,trial,,5.0,
5,61352,,survey-text,5,1037659,0.0-5.0,2fgx0e179atm1f3892wu,female,battle,,,description,,,"{""Q0"":""Jennifer has cancer. She will need long term treatment and will face many hardships during that treatment.""}"
6,8908,,survey-likert,6,1046568,0.0-6.0-0.0,2fgx0e179atm1f3892wu,female,battle,,,urgent,,,"{""Q0"":4}"
7,3810,,survey-likert,7,1050379,0.0-6.0-1.0,2fgx0e179atm1f3892wu,female,battle,,,sympathy,,,"{""Q0"":5}"
8,7288,,survey-text,8,1057667,0.0-7.0,2fgx0e179atm1f3892wu,female,battle,,,past-donations,,,"{""Q0"":""0""}"
9,9244,,survey-multi-choice,9,1066913,0.0-8.0-0.0,2fgx0e179atm1f3892wu,female,battle,,,self-cancer,,,"{""Q0"":""Prefer not to say""}"
10,4929,,survey-multi-choice,10,1071843,0.0-8.0-1.0,2fgx0e179atm1f3892wu,female,battle,,,ff-cancer,,,"{""Q0"":""Yes""}"
11,52345,,survey-multi-choice,11,1124193,0.0-9.0,2fgx0e179atm1f3892wu,female,battle,,,demographics,,,"{""Q0"":""Male"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
12,4829,,survey-text,12,1129022,0.0-10.0,2fgx0e179atm1f3892wu,female,battle,,,age,,,"{""Q0"":""37""}"
13,28702,,survey-text,13,1157724,0.0-11.0,2fgx0e179atm1f3892wu,female,battle,,,purpose,,,"{""Q0"":""""}"
14,1496,,survey-text,14,1159220,0.0-12.0,2fgx0e179atm1f3892wu,female,battle,,,feedback,,,"{""Q0"":""""}"
15,45521,debrief.html,external-html,15,1204989,0.0-13.0,2fgx0e179atm1f3892wu,female,battle,,,,,,
