,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,8160,consent.html,external-html,0,8244,0.0-0.0,2o7az3h4ypvr5jzr0v7g,female,literal,,,,,,
1,23777,,image-button-response,1,32023,0.0-1.0,2o7az3h4ypvr5jzr0v7g,female,literal,check-1.png,1.0,check1,,,
2,3046,,image-button-response,2,35071,0.0-2.0,2o7az3h4ypvr5jzr0v7g,female,literal,check-2.png,2.0,check2,,,
3,625575,,instructions,3,660646,0.0-3.0,2o7az3h4ypvr5jzr0v7g,female,literal,,,,"[{""page_index"":0,""viewing_time"":2603},{""page_index"":1,""viewing_time"":620027},{""page_index"":2,""viewing_time"":1880},{""page_index"":3,""viewing_time"":1065}]",,
4,183642,,html-slider-response,4,844290,0.0-4.0,2o7az3h4ypvr5jzr0v7g,female,literal,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_literal.png"" class=""main-trial""/>",,trial,,5.0,
5,59598,,survey-text,5,903890,0.0-5.0,2o7az3h4ypvr5jzr0v7g,female,literal,,,description,,,"{""Q0"":""There is a young woman who has been recently diagnosed with lymphoma. We know that money involved with fighting the disease from a medical stand point and we need donations.""}"
6,5497,,survey-likert,6,909388,0.0-6.0-0.0,2o7az3h4ypvr5jzr0v7g,female,literal,,,urgent,,,"{""Q0"":5}"
7,4427,,survey-likert,7,913817,0.0-6.0-1.0,2o7az3h4ypvr5jzr0v7g,female,literal,,,sympathy,,,"{""Q0"":4}"
8,3686,,survey-text,8,917505,0.0-7.0,2o7az3h4ypvr5jzr0v7g,female,literal,,,past-donations,,,"{""Q0"":""2""}"
9,3526,,survey-multi-choice,9,921033,0.0-8.0-0.0,2o7az3h4ypvr5jzr0v7g,female,literal,,,ff-cancer,,,"{""Q0"":""Yes""}"
10,2702,,survey-multi-choice,10,923738,0.0-8.0-1.0,2o7az3h4ypvr5jzr0v7g,female,literal,,,self-cancer,,,"{""Q0"":""No""}"
11,14603,,survey-multi-choice,11,938346,0.0-9.0,2o7az3h4ypvr5jzr0v7g,female,literal,,,demographics,,,"{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$100,000 through $149,999"",""Q3"":""Yes""}"
12,3354,,survey-text,12,941701,0.0-10.0,2o7az3h4ypvr5jzr0v7g,female,literal,,,age,,,"{""Q0"":""34""}"
13,10396,,survey-text,13,952097,0.0-11.0,2o7az3h4ypvr5jzr0v7g,female,literal,,,purpose,,,"{""Q0"":""people's view of charity""}"
14,6564,,survey-text,14,958662,0.0-12.0,2o7az3h4ypvr5jzr0v7g,female,literal,,,feedback,,,"{""Q0"":""not at this time""}"
15,3359,debrief.html,external-html,15,962252,0.0-13.0,2o7az3h4ypvr5jzr0v7g,female,literal,,,,,,
