,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,21632,consent.html,external-html,0,21752,0.0-0.0,9psjghrbz0kccarpxo97,female,literal,,,,,,
1,2258,,image-button-response,1,24019,0.0-1.0,9psjghrbz0kccarpxo97,female,literal,check-1.png,1.0,check1,,,
2,2290,,image-button-response,2,26312,0.0-2.0,9psjghrbz0kccarpxo97,female,literal,check-2.png,2.0,check2,,,
3,30517,,instructions,3,56831,0.0-3.0,9psjghrbz0kccarpxo97,female,literal,,,,"[{""page_index"":0,""viewing_time"":5623},{""page_index"":1,""viewing_time"":14914},{""page_index"":2,""viewing_time"":8729},{""page_index"":3,""viewing_time"":1249}]",,
4,36056,,html-slider-response,4,92892,0.0-4.0,9psjghrbz0kccarpxo97,female,literal,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_literal.png"" class=""main-trial""/>",,trial,,15.0,
5,44253,,survey-text,5,137148,0.0-5.0,9psjghrbz0kccarpxo97,female,literal,,,description,,,"{""Q0"":""Jennifer has recently been diagnosed with Stage II lymphoma. She has had surgery and also has recently begun chemotherapy. Her friend is attempting to raise money for her.""}"
6,4538,,survey-likert,6,141689,0.0-6.0-0.0,9psjghrbz0kccarpxo97,female,literal,,,urgent,,,"{""Q0"":5}"
7,3894,,survey-likert,7,145586,0.0-6.0-1.0,9psjghrbz0kccarpxo97,female,literal,,,sympathy,,,"{""Q0"":5}"
8,6738,,survey-text,8,152328,0.0-7.0,9psjghrbz0kccarpxo97,female,literal,,,past-donations,,,"{""Q0"":""1""}"
9,2116,,survey-multi-choice,9,154451,0.0-8.0-0.0,9psjghrbz0kccarpxo97,female,literal,,,self-cancer,,,"{""Q0"":""No""}"
10,3769,,survey-multi-choice,10,158227,0.0-8.0-1.0,9psjghrbz0kccarpxo97,female,literal,,,ff-cancer,,,"{""Q0"":""No""}"
11,14229,,survey-multi-choice,11,172472,0.0-9.0,9psjghrbz0kccarpxo97,female,literal,,,demographics,,,"{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""Prefer not to say"",""Q3"":""Yes""}"
12,2440,,survey-text,12,174915,0.0-10.0,9psjghrbz0kccarpxo97,female,literal,,,age,,,"{""Q0"":""22""}"
13,20584,,survey-text,13,195502,0.0-11.0,9psjghrbz0kccarpxo97,female,literal,,,purpose,,,"{""Q0"":""How much people are willing to donate for someone going through cancer treatments""}"
14,3292,,survey-text,14,198796,0.0-12.0,9psjghrbz0kccarpxo97,female,literal,,,feedback,,,"{""Q0"":""None""}"
15,29557,debrief.html,external-html,15,228801,0.0-13.0,9psjghrbz0kccarpxo97,female,literal,,,,,,
