,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,14174,consent.html,external-html,0,14271,0.0-0.0,a6ko8qmgln6hlgfrk6zy,female,literal,,,,,,
1,2454,,image-button-response,1,16730,0.0-1.0,a6ko8qmgln6hlgfrk6zy,female,literal,check-1.png,1.0,check1,,,
2,3316,,image-button-response,2,20048,0.0-2.0,a6ko8qmgln6hlgfrk6zy,female,literal,check-2.png,2.0,check2,,,
3,37886,,instructions,3,57935,0.0-3.0,a6ko8qmgln6hlgfrk6zy,female,literal,,,,"[{""page_index"":0,""viewing_time"":6281},{""page_index"":1,""viewing_time"":15910},{""page_index"":2,""viewing_time"":12960},{""page_index"":3,""viewing_time"":2734}]",,
4,19536,,html-slider-response,4,77475,0.0-4.0,a6ko8qmgln6hlgfrk6zy,female,literal,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_literal.png"" class=""main-trial""/>",,trial,,45.0,
5,26161,,survey-text,5,103640,0.0-5.0,a6ko8qmgln6hlgfrk6zy,female,literal,,,description,,,"{""Q0"":""She had thyroid surgery.  After the surgery, she found out she had lymphoma.""}"
6,6176,,survey-likert,6,109818,0.0-6.0-0.0,a6ko8qmgln6hlgfrk6zy,female,literal,,,urgent,,,"{""Q0"":4}"
7,3440,,survey-likert,7,113260,0.0-6.0-1.0,a6ko8qmgln6hlgfrk6zy,female,literal,,,sympathy,,,"{""Q0"":5}"
8,4523,,survey-text,8,117785,0.0-7.0,a6ko8qmgln6hlgfrk6zy,female,literal,,,past-donations,,,"{""Q0"":""6""}"
9,2947,,survey-multi-choice,9,120736,0.0-8.0-0.0,a6ko8qmgln6hlgfrk6zy,female,literal,,,self-cancer,,,"{""Q0"":""No""}"
10,3664,,survey-multi-choice,10,124404,0.0-8.0-1.0,a6ko8qmgln6hlgfrk6zy,female,literal,,,ff-cancer,,,"{""Q0"":""Yes""}"
11,12765,,survey-multi-choice,11,137182,0.0-9.0,a6ko8qmgln6hlgfrk6zy,female,literal,,,demographics,,,"{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
12,3817,,survey-text,12,141001,0.0-10.0,a6ko8qmgln6hlgfrk6zy,female,literal,,,age,,,"{""Q0"":""31""}"
13,2613,,survey-text,13,143615,0.0-11.0,a6ko8qmgln6hlgfrk6zy,female,literal,,,purpose,,,"{""Q0"":""""}"
14,1245,,survey-text,14,144862,0.0-12.0,a6ko8qmgln6hlgfrk6zy,female,literal,,,feedback,,,"{""Q0"":""""}"
15,5503,debrief.html,external-html,15,150607,0.0-13.0,a6ko8qmgln6hlgfrk6zy,female,literal,,,,,,
