,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,16558,consent.html,external-html,0,16604,0.0-0.0,hqn2moxrzdvq8v8g14hd,male,literal,,,,,,
1,2885,,image-button-response,1,19493,0.0-1.0,hqn2moxrzdvq8v8g14hd,male,literal,check-1.png,1.0,check1,,,
2,13774,,image-button-response,2,33268,0.0-2.0,hqn2moxrzdvq8v8g14hd,male,literal,check-2.png,2.0,check2,,,
3,59852,,instructions,3,93121,0.0-3.0,hqn2moxrzdvq8v8g14hd,male,literal,,,,"[{""page_index"":0,""viewing_time"":16311},{""page_index"":1,""viewing_time"":27860},{""page_index"":2,""viewing_time"":12788},{""page_index"":3,""viewing_time"":2892}]",,
4,176617,,html-slider-response,4,269740,0.0-4.0,hqn2moxrzdvq8v8g14hd,male,literal,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_literal.png"" class=""main-trial""/>",,trial,,25.0,
5,34303,,survey-text,5,304044,0.0-5.0,hqn2moxrzdvq8v8g14hd,male,literal,,,description,,,"{""Q0"":""it is Critical and dire one . ""}"
6,16253,,survey-likert,6,320299,0.0-6.0-0.0,hqn2moxrzdvq8v8g14hd,male,literal,,,urgent,,,"{""Q0"":4}"
7,3972,,survey-likert,7,324273,0.0-6.0-1.0,hqn2moxrzdvq8v8g14hd,male,literal,,,sympathy,,,"{""Q0"":4}"
8,8849,,survey-text,8,333124,0.0-7.0,hqn2moxrzdvq8v8g14hd,male,literal,,,past-donations,,,"{""Q0"":""5""}"
9,27176,,survey-multi-choice,9,360303,0.0-8.0-0.0,hqn2moxrzdvq8v8g14hd,male,literal,,,ff-cancer,,,"{""Q0"":""No""}"
10,15324,,survey-multi-choice,10,375629,0.0-8.0-1.0,hqn2moxrzdvq8v8g14hd,male,literal,,,self-cancer,,,"{""Q0"":""No""}"
11,20407,,survey-multi-choice,11,396042,0.0-9.0,hqn2moxrzdvq8v8g14hd,male,literal,,,demographics,,,"{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
12,9580,,survey-text,12,405623,0.0-10.0,hqn2moxrzdvq8v8g14hd,male,literal,,,age,,,"{""Q0"":""34""}"
13,5897,,survey-text,13,411521,0.0-11.0,hqn2moxrzdvq8v8g14hd,male,literal,,,purpose,,,"{""Q0"":""""}"
14,3477,,survey-text,14,414999,0.0-12.0,hqn2moxrzdvq8v8g14hd,male,literal,,,feedback,,,"{""Q0"":""""}"
15,18756,debrief.html,external-html,15,435139,0.0-13.0,hqn2moxrzdvq8v8g14hd,male,literal,,,,,,
