,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,24297,consent.html,external-html,0,24361,0.0-0.0,rpxaarkfqx7e06cnxrzq,female,battle,,,,,,
1,786990,,image-button-response,1,811354,0.0-1.0,rpxaarkfqx7e06cnxrzq,female,battle,check-1.png,2.0,check1,,,
2,1404,,image-button-response,2,812760,0.0-2.0,rpxaarkfqx7e06cnxrzq,female,battle,check-2.png,1.0,check2,,,
3,4346,,instructions,3,817107,0.0-3.0,rpxaarkfqx7e06cnxrzq,female,battle,,,,"[{""page_index"":0,""viewing_time"":970},{""page_index"":1,""viewing_time"":1278},{""page_index"":2,""viewing_time"":1122},{""page_index"":3,""viewing_time"":975}]",,
4,5481,,html-slider-response,4,822589,0.0-4.0,rpxaarkfqx7e06cnxrzq,female,battle,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_battle.png"" class=""main-trial""/>",,trial,,25.0,
5,12171,,survey-text,5,834761,0.0-5.0,rpxaarkfqx7e06cnxrzq,female,battle,,,description,,,"{""Q0"":""Her frein""}"
6,3902,,survey-likert,6,838665,0.0-6.0-0.0,rpxaarkfqx7e06cnxrzq,female,battle,,,urgent,,,"{""Q0"":4}"
7,2258,,survey-likert,7,840924,0.0-6.0-1.0,rpxaarkfqx7e06cnxrzq,female,battle,,,sympathy,,,"{""Q0"":3}"
8,5363,,survey-text,8,846289,0.0-7.0,rpxaarkfqx7e06cnxrzq,female,battle,,,past-donations,,,"{""Q0"":""yes""}"
9,4158,,survey-multi-choice,9,850448,0.0-8.0-0.0,rpxaarkfqx7e06cnxrzq,female,battle,,,ff-cancer,,,"{""Q0"":""Yes""}"
10,7033,,survey-multi-choice,10,857482,0.0-8.0-1.0,rpxaarkfqx7e06cnxrzq,female,battle,,,self-cancer,,,"{""Q0"":""Yes""}"
11,19498,,survey-multi-choice,11,876985,0.0-9.0,rpxaarkfqx7e06cnxrzq,female,battle,,,demographics,,,"{""Q0"":""Female"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
12,20012,,survey-text,12,896998,0.0-10.0,rpxaarkfqx7e06cnxrzq,female,battle,,,age,,,"{""Q0"":""32""}"
13,44209,,survey-text,13,941209,0.0-11.0,rpxaarkfqx7e06cnxrzq,female,battle,,,purpose,,,"{""Q0"":""""}"
14,1183,,survey-text,14,942396,0.0-12.0,rpxaarkfqx7e06cnxrzq,female,battle,,,feedback,,,"{""Q0"":""""}"
15,1760,debrief.html,external-html,15,944595,0.0-13.0,rpxaarkfqx7e06cnxrzq,female,battle,,,,,,
