,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,5531,consent.html,external-html,0,5538,0.0-0.0,sg0nfw04pq0sft0mcg5o,female,battle,,,,,,
1,2202,,image-button-response,1,7742,0.0-1.0,sg0nfw04pq0sft0mcg5o,female,battle,check-1.png,1.0,check1,,,
2,4050,,image-button-response,2,11793,0.0-2.0,sg0nfw04pq0sft0mcg5o,female,battle,check-2.png,2.0,check2,,,
3,42613,,instructions,3,54406,0.0-3.0,sg0nfw04pq0sft0mcg5o,female,battle,,,,"[{""page_index"":0,""viewing_time"":9775},{""page_index"":1,""viewing_time"":19392},{""page_index"":2,""viewing_time"":12106},{""page_index"":3,""viewing_time"":1339}]",,
4,49515,,html-slider-response,4,103923,0.0-4.0,sg0nfw04pq0sft0mcg5o,female,battle,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_battle.png"" class=""main-trial""/>",,trial,,5.0,
5,39163,,survey-text,5,143087,0.0-5.0,sg0nfw04pq0sft0mcg5o,female,battle,,,description,,,"{""Q0"":""Jennifer had thyroid surgery and now chemo and radiation. She cannot work and needs help to pay the bills. ""}"
6,8129,,survey-likert,6,151218,0.0-6.0-0.0,sg0nfw04pq0sft0mcg5o,female,battle,,,sympathy,,,"{""Q0"":3}"
7,4614,,survey-likert,7,155834,0.0-6.0-1.0,sg0nfw04pq0sft0mcg5o,female,battle,,,urgent,,,"{""Q0"":4}"
8,5848,,survey-text,8,161682,0.0-7.0,sg0nfw04pq0sft0mcg5o,female,battle,,,past-donations,,,"{""Q0"":""0""}"
9,2475,,survey-multi-choice,9,164159,0.0-8.0-0.0,sg0nfw04pq0sft0mcg5o,female,battle,,,self-cancer,,,"{""Q0"":""No""}"
10,4077,,survey-multi-choice,10,168238,0.0-8.0-1.0,sg0nfw04pq0sft0mcg5o,female,battle,,,ff-cancer,,,"{""Q0"":""Yes""}"
11,14528,,survey-multi-choice,11,182772,0.0-9.0,sg0nfw04pq0sft0mcg5o,female,battle,,,demographics,,,"{""Q0"":""Female"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
12,4026,,survey-text,12,186799,0.0-10.0,sg0nfw04pq0sft0mcg5o,female,battle,,,age,,,"{""Q0"":""35""}"
13,11172,,survey-text,13,197972,0.0-11.0,sg0nfw04pq0sft0mcg5o,female,battle,,,purpose,,,"{""Q0"":""I dont recall. ""}"
14,5068,,survey-text,14,203041,0.0-12.0,sg0nfw04pq0sft0mcg5o,female,battle,,,feedback,,,"{""Q0"":""no""}"
15,2426,debrief.html,external-html,15,205672,0.0-13.0,sg0nfw04pq0sft0mcg5o,female,battle,,,,,,
