,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,19218,consent.html,external-html,0,19283,0.0-0.0,vuye94scw4kaj6xwdaqk,male,literal,,,,,,
1,2502,,image-button-response,1,21786,0.0-1.0,vuye94scw4kaj6xwdaqk,male,literal,check-1.png,1.0,check1,,,
2,4675,,image-button-response,2,26462,0.0-2.0,vuye94scw4kaj6xwdaqk,male,literal,check-2.png,2.0,check2,,,
3,39939,,instructions,3,66402,0.0-3.0,vuye94scw4kaj6xwdaqk,male,literal,,,,"[{""page_index"":0,""viewing_time"":7565},{""page_index"":1,""viewing_time"":21307},{""page_index"":2,""viewing_time"":9305},{""page_index"":3,""viewing_time"":1762}]",,
4,48492,,html-slider-response,4,114895,0.0-4.0,vuye94scw4kaj6xwdaqk,male,literal,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_ml.png"" class=""main-trial""/>",,trial,,15.0,
5,82231,,survey-text,5,197127,0.0-5.0,vuye94scw4kaj6xwdaqk,male,literal,,,description,,,"{""Q0"":""He has to undergo a complicated thyroid surgery after already going through a long serious of treatments.   He has been fighting with all of this for a while.""}"
6,9022,,survey-likert,6,206150,0.0-6.0-0.0,vuye94scw4kaj6xwdaqk,male,literal,,,urgent,,,"{""Q0"":4}"
7,4854,,survey-likert,7,211005,0.0-6.0-1.0,vuye94scw4kaj6xwdaqk,male,literal,,,sympathy,,,"{""Q0"":6}"
8,6925,,survey-text,8,217932,0.0-7.0,vuye94scw4kaj6xwdaqk,male,literal,,,past-donations,,,"{""Q0"":""0""}"
9,4441,,survey-multi-choice,9,222374,0.0-8.0-0.0,vuye94scw4kaj6xwdaqk,male,literal,,,self-cancer,,,"{""Q0"":""No""}"
10,9862,,survey-multi-choice,10,232237,0.0-8.0-1.0,vuye94scw4kaj6xwdaqk,male,literal,,,ff-cancer,,,"{""Q0"":""No""}"
11,16702,,survey-multi-choice,11,248944,0.0-9.0,vuye94scw4kaj6xwdaqk,male,literal,,,demographics,,,"{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""No""}"
12,16331,,survey-text,12,265276,0.0-10.0,vuye94scw4kaj6xwdaqk,male,literal,,,age,,,"{""Q0"":""34""}"
13,34007,,survey-text,13,299283,0.0-11.0,vuye94scw4kaj6xwdaqk,male,literal,,,purpose,,,"{""Q0"":""Peoples level of giving to a stranger with money is involved.""}"
14,6432,,survey-text,14,305716,0.0-12.0,vuye94scw4kaj6xwdaqk,male,literal,,,feedback,,,"{""Q0"":""""}"
15,4593,debrief.html,external-html,15,310615,0.0-13.0,vuye94scw4kaj6xwdaqk,male,literal,,,,,,
