,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,9114,consent.html,external-html,0,9421,0.0-0.0,xhzow7y456unwlvxt28w,female,battle,,,,,,
1,4094,,image-button-response,1,13529,0.0-1.0,xhzow7y456unwlvxt28w,female,battle,check-1.png,1.0,check1,,,
2,5483,,image-button-response,2,19016,0.0-2.0,xhzow7y456unwlvxt28w,female,battle,check-2.png,2.0,check2,,,
3,307367,,instructions,3,326385,0.0-3.0,xhzow7y456unwlvxt28w,female,battle,,,,"[{""page_index"":0,""viewing_time"":37164},{""page_index"":1,""viewing_time"":155912},{""page_index"":2,""viewing_time"":113081},{""page_index"":3,""viewing_time"":1208}]",,
4,111103,,html-slider-response,4,437498,0.0-4.0,xhzow7y456unwlvxt28w,female,battle,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>",,trial,,5.0,
5,164305,,survey-text,5,601809,0.0-5.0,xhzow7y456unwlvxt28w,female,battle,,,description,,,"{""Q0"":""I would say that Jennifer was hit with sickness. She has a friend who is trying to raise money for her. ""}"
6,9305,,survey-likert,6,611120,0.0-6.0-0.0,xhzow7y456unwlvxt28w,female,battle,,,urgent,,,"{""Q0"":4}"
7,11268,,survey-likert,7,622393,0.0-6.0-1.0,xhzow7y456unwlvxt28w,female,battle,,,sympathy,,,"{""Q0"":4}"
8,11088,,survey-text,8,633485,0.0-7.0,xhzow7y456unwlvxt28w,female,battle,,,past-donations,,,"{""Q0"":""8""}"
9,30601,,survey-multi-choice,9,664094,0.0-8.0-0.0,xhzow7y456unwlvxt28w,female,battle,,,ff-cancer,,,"{""Q0"":""Yes""}"
10,4927,,survey-multi-choice,10,669027,0.0-8.0-1.0,xhzow7y456unwlvxt28w,female,battle,,,self-cancer,,,"{""Q0"":""No""}"
11,11208,,survey-multi-choice,11,680267,0.0-9.0,xhzow7y456unwlvxt28w,female,battle,,,demographics,,,"{""Q0"":""Female"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
12,4153,,survey-text,12,684424,0.0-10.0,xhzow7y456unwlvxt28w,female,battle,,,age,,,"{""Q0"":""22""}"
13,12980,,survey-text,13,697409,0.0-11.0,xhzow7y456unwlvxt28w,female,battle,,,purpose,,,"{""Q0"":""To see what morals we have.""}"
14,6393,,survey-text,14,703804,0.0-12.0,xhzow7y456unwlvxt28w,female,battle,,,feedback,,,"{""Q0"":""""}"
15,5364,debrief.html,external-html,15,709973,0.0-13.0,xhzow7y456unwlvxt28w,female,battle,,,,,,
