,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,14919,consent.html,external-html,0,15100,0.0-0.0,yjkj06n5g8afnjjuzub4,male,literal,,,,,,
1,2022,,image-button-response,1,17129,0.0-1.0,yjkj06n5g8afnjjuzub4,male,literal,check-1.png,1.0,check1,,,
2,2923,,image-button-response,2,20055,0.0-2.0,yjkj06n5g8afnjjuzub4,male,literal,check-2.png,2.0,check2,,,
3,26919,,instructions,3,46975,0.0-3.0,yjkj06n5g8afnjjuzub4,male,literal,,,,"[{""page_index"":0,""viewing_time"":6849},{""page_index"":1,""viewing_time"":15061},{""page_index"":2,""viewing_time"":4093},{""page_index"":3,""viewing_time"":914}]",,
4,32569,,html-slider-response,4,79549,0.0-4.0,yjkj06n5g8afnjjuzub4,male,literal,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_literal.png"" class=""main-trial""/>",,trial,,0.0,
5,45442,,survey-text,5,124994,0.0-5.0,yjkj06n5g8afnjjuzub4,male,literal,,,description,,,"{""Q0"":""Jason has been diagnosed with cancer and will now need chemotherapy and radiation treatments. He already started chemotherapy and lost some energy, but is doing somewhat better. His friend is now raising money for him to help out with his upcoming expenses due to this recent cancer diagnosis. ""}"
6,7177,,survey-likert,6,132175,0.0-6.0-0.0,yjkj06n5g8afnjjuzub4,male,literal,,,urgent,,,"{""Q0"":5}"
7,7297,,survey-likert,7,139476,0.0-6.0-1.0,yjkj06n5g8afnjjuzub4,male,literal,,,sympathy,,,"{""Q0"":4}"
8,10853,,survey-text,8,150332,0.0-7.0,yjkj06n5g8afnjjuzub4,male,literal,,,past-donations,,,"{""Q0"":""10""}"
9,2455,,survey-multi-choice,9,152792,0.0-8.0-0.0,yjkj06n5g8afnjjuzub4,male,literal,,,self-cancer,,,"{""Q0"":""No""}"
10,4394,,survey-multi-choice,10,157190,0.0-8.0-1.0,yjkj06n5g8afnjjuzub4,male,literal,,,ff-cancer,,,"{""Q0"":""Yes""}"
11,19530,,survey-multi-choice,11,176736,0.0-9.0,yjkj06n5g8afnjjuzub4,male,literal,,,demographics,,,"{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
12,3672,,survey-text,12,180411,0.0-10.0,yjkj06n5g8afnjjuzub4,male,literal,,,age,,,"{""Q0"":""23""}"
13,24033,,survey-text,13,204451,0.0-11.0,yjkj06n5g8afnjjuzub4,male,literal,,,purpose,,,"{""Q0"":""How likely one is to sympathize and donate to someone that has cancer.""}"
14,1600,,survey-text,14,206052,0.0-12.0,yjkj06n5g8afnjjuzub4,male,literal,,,feedback,,,"{""Q0"":""""}"
15,6249,debrief.html,external-html,15,212558,0.0-13.0,yjkj06n5g8afnjjuzub4,male,literal,,,,,,
